sample_index,defecttype,obliquity,obliquity_bin,legacy_cap_active,mic_max_delta_A,mic_mean_delta_A,mic_pair_count_gt_1e-6,permutation_prediction_range_eV,exact_mic_prediction_delta_eV
0,interstitial,0.5,oblique,True,3.725961685180664,0.20827248631691447,162,0.14463329315185547,0.030872106552124023
1,interstitial,0.5,oblique,True,4.662570476531982,0.33690085266094216,412,0.0913858413696289,0.020499229431152344
2,adsorbate,0.5,oblique,True,4.66097354888916,0.31305168470408906,408,0.09296751022338867,0.003769397735595703
3,interstitial,0.5,oblique,True,2.7420835494995117,0.13940634350387418,150,,
4,adsorbate,0.5,oblique,True,2.8379383087158203,0.14631615974465195,136,0.2520616054534912,0.001058340072631836
5,adsorbate,0.5,oblique,True,4.859245300292969,0.3131684083235557,380,0.0929560661315918,0.002292633056640625
6,interstitial,0.5,oblique,True,3.102771759033203,0.17580196869616604,154,0.20154190063476562,0.0445253849029541
7,adsorbate,0.5,oblique,True,4.661752700805664,0.3532635550953755,444,0.01726233959197998,0.12497222423553467
8,adsorbate,0.5,oblique,True,2.697397232055664,0.1298114024862951,140,0.03027963638305664,0.0020804405212402344
9,adsorbate,0.5,oblique,True,2.7438039779663086,0.1326806271562771,140,0.018439292907714844,0.004527568817138672
10,interstitial,0.5,oblique,True,3.4812846183776855,0.17189997252152892,164,0.09542953968048096,0.03440201282501221
11,adsorbate,0.5,oblique,True,2.6935887336730957,0.13607055800301687,140,0.015239953994750977,0.0017867088317871094
12,adsorbate,0.5,oblique,True,4.858189105987549,0.3274986321903278,404,0.01922476291656494,0.00695645809173584
13,adsorbate,0.5,oblique,True,4.661516189575195,0.3663098525127139,442,0.018869876861572266,0.0029931068420410156
14,adsorbate,0.5,oblique,True,3.4964542388916016,0.15730564874045702,136,0.14489340782165527,0.008402824401855469
15,adsorbate,0.5,oblique,True,2.804344654083252,0.13561971090277847,142,0.05618453025817871,0.004973173141479492
16,adsorbate,0.5,oblique,True,4.857299327850342,0.3408980830318478,406,0.01954352855682373,0.0032426118850708008
17,adsorbate,0.5,oblique,True,2.9231300354003906,0.14803186545566638,142,0.08921575546264648,0.003541231155395508
18,adsorbate,0.5,oblique,True,2.8601722717285156,0.14031666699720888,150,0.07063007354736328,0.026427507400512695
19,adsorbate,0.5,oblique,True,4.8576178550720215,0.308381397592083,402,0.09321117401123047,0.019392967224121094
20,adsorbate,0.5,oblique,True,2.6794424057006836,0.13124374285036203,154,0.03300356864929199,0.0051496028900146484
21,adsorbate,0.5,oblique,True,2.749474048614502,0.13446831034154308,136,0.060561180114746094,0.01759958267211914
22,adsorbate,0.5,oblique,True,4.664222240447998,0.3205043966697683,408,0.07416081428527832,4.1961669921875e-05
23,adsorbate,0.5,oblique,True,2.6973319053649902,0.13082219873155868,142,0.0593867301940918,0.01966571807861328
24,interstitial,0.5,oblique,True,2.9703307151794434,0.16094272234001938,138,0.1813821792602539,0.0056285858154296875
25,adsorbate,0.5,oblique,True,4.856907844543457,0.30352406916842767,392,0.024369239807128906,0.022017717361450195
26,interstitial,0.5,oblique,True,4.643113136291504,0.26305452201427,372,0.22210693359375,0.002887725830078125
27,adsorbate,0.5,oblique,True,2.8039212226867676,0.13560852651693384,144,0.037457942962646484,0.0009541511535644531
28,adsorbate,0.5,oblique,True,3.4177775382995605,0.15972640076462102,138,0.1412670612335205,0.07547187805175781
29,adsorbate,0.5,oblique,True,4.654625415802002,0.37545164005799075,444,0.09449386596679688,0.011064529418945312
30,adsorbate,0.5,oblique,True,2.7659215927124023,0.14312168347592258,154,0.1019747257232666,0.006760120391845703
31,adsorbate,0.5,oblique,True,2.7411293983459473,0.13992409864250493,140,0.0918877124786377,0.0003070831298828125
