evidence_tier,evidence_label,sample_index,raw_row_id,host,host_family,dopant,impurity_series,defecttype,site,natoms,target_eV,target_decile,pair_absolute_error_eV,extension_factor,abs_conv2,nonpathological_eligible,high_error_interstitial_pool_rank,bottom_quartile_adsorbate_pool_rank,xf_gt_2_pathology_rank,top_1pct_abs_conv2_pathology_rank,provenance_missing
canonical,CANONICAL — REPAIRED G2 OOF,0,5,SnS2,chalcogenide,Cl,main_group,interstitial,int0,28,4.801365439999993,8,2.926176374066766,1.1357322881089045,0.050831,1,97,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,1,7,WS2,chalcogenide,H,main_group,interstitial,int0,49,2.0896895974999854,4,0.10479913653196782,1.0325086824595753,6.62265e-05,1,2509,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,2,8,MoS2,chalcogenide,Tc,4d,adsorbate,ads0,49,6.043423804999988,8,0.15581003165404095,0.970117233380424,2.78693e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,4,13,WTe2,chalcogenide,Be,main_group,adsorbate,ads1,28,3.2260638650000035,6,0.12676634150146837,0.9305831704995222,8.47154e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,5,14,MoSe2,chalcogenide,Ru,4d,adsorbate,ads1,49,4.2163123349999685,7,0.20893471048824974,0.8736845360492846,8.25108e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,6,15,WTe2,chalcogenide,Lu,f_block_other,interstitial,int0,28,4.2114044050000015,7,0.17763193643310693,1.2320559220244542,0.00137218,1,2184,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,7,16,MoS2,chalcogenide,Zn,3d,adsorbate,ads1,49,1.0672336199999883,3,0.12711423842896674,1.2227650469701503,0.00163485,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,8,17,MoTe2,chalcogenide,Co,3d,adsorbate,ads0,28,4.308469094999996,7,0.00016192413207605227,0.9766769562717046,2.24925e-05,1,,7,,,0
canonical,CANONICAL — REPAIRED G2 OOF,9,19,WTe2,chalcogenide,Hg,5d,adsorbate,ads0,28,0.1673702150000045,1,0.2797065824853471,1.1799128716493086,0.000200749,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,10,20,SnS2,chalcogenide,Ru,4d,interstitial,int0,28,1.8610952650000008,4,0.6673234258581551,1.0794396076117123,0.00146313,1,841,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,11,21,MoTe2,chalcogenide,As,main_group,adsorbate,ads1,28,2.8542523049999966,6,0.011336360008548318,1.2187899331809828,0.0008330999999999,1,,342,,,0
canonical,CANONICAL — REPAIRED G2 OOF,12,24,MoSe2,chalcogenide,I,main_group,adsorbate,ads2,49,0.8601984549999802,2,0.08953086838716584,1.203383515283812,6.51378e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,13,26,MoS2,chalcogenide,Au,5d,adsorbate,ads0,49,2.3606605324999785,5,0.08866594174070119,0.9769885439031164,6.989979999999999e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,14,27,NbS2,chalcogenide,B,main_group,adsorbate,ads1,28,1.1171428375000083,3,0.5939540080780112,0.8691380800082439,0.00031027,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,15,28,SnS2,chalcogenide,Rh,4d,adsorbate,ads0,28,3.1086509999999947,6,0.04850133035277793,0.9267108162262828,0.0127765,1,,1320,,,0
canonical,CANONICAL — REPAIRED G2 OOF,16,29,MoSe2,chalcogenide,Cl,main_group,adsorbate,ads1,49,0.7582789600000082,2,0.200044029961556,1.2978578458040304,0.00372596,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,17,31,WTe2,chalcogenide,Ir,5d,adsorbate,ads1,28,4.030844462500008,7,0.06086899100342613,0.8659977914185492,0.000398654,1,,1640,,,0
canonical,CANONICAL — REPAIRED G2 OOF,18,32,SnS2,chalcogenide,Hf,5d,adsorbate,ads0,28,3.5400331999999946,7,0.3923233535034125,0.9559269286507583,0.0782641999999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,19,33,MoSe2,chalcogenide,N,main_group,adsorbate,ads1,49,5.438562150000001,8,0.006536240576172858,0.9978521460342206,0.00696873,1,,201,,,0
canonical,CANONICAL — REPAIRED G2 OOF,20,34,NbS2,chalcogenide,Br,main_group,adsorbate,ads0,28,-0.0135642337499999,1,0.17627275463928213,0.9652201356660616,7.8147e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,21,35,NbSe2,chalcogenide,Os,5d,adsorbate,ads0,28,8.288310070000014,9,1.771053810081801,0.908429802009754,0.0299,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,22,37,WS2,chalcogenide,Pt,5d,adsorbate,ads2,49,3.6064450574999833,7,0.07459427584352252,0.9925595457158348,8.806479999999999e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,23,39,WTe2,chalcogenide,H,main_group,adsorbate,ads0,28,2.246647777500017,5,0.2919989204980298,1.0446333793839142,7.32347e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,24,40,SnS2,chalcogenide,Cd,4d,interstitial,int4,28,4.951312599999996,8,0.08584695897826755,1.0531137608349774,2.89134e-05,1,2610,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,25,41,WSe2,chalcogenide,Lu,f_block_other,adsorbate,ads1,49,2.7886018849999976,6,0.03399251922058344,0.95833366047604,8.75573e-05,1,,945,,,0
canonical,CANONICAL — REPAIRED G2 OOF,26,42,WS2,chalcogenide,Cl,main_group,interstitial,int3,49,9.3448726,9,0.035076016027831614,1.0523523032242006,7.57394e-05,1,2857,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,27,43,SnS2,chalcogenide,Li,main_group,adsorbate,ads0,28,-0.6758496400000087,0,0.10352917872681533,0.9807022561912848,0.0008392569999999,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,28,44,NbSe2,chalcogenide,Mo,4d,adsorbate,ads1,28,3.412059169999996,6,0.0918646871966513,0.8662938137244722,0.00532579,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,29,46,MoS2,chalcogenide,C,main_group,adsorbate,ads1,49,5.810359127499978,8,0.06699501755007109,1.0198074995432127,8.50291e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,30,47,WTe2,chalcogenide,Al,main_group,adsorbate,ads1,28,2.402356442500007,5,0.2398636904248117,1.0695112308930066,7.926359999999999e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,31,50,MoTe2,chalcogenide,Sc,3d,adsorbate,ads1,28,2.71409145500002,6,0.42329088355836975,0.9232807142332236,6.610479999999999e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,32,51,SnS2,chalcogenide,Ta,5d,interstitial,int2,28,10.86908782,9,0.8031832026904304,2.7707173558934315,0.0585678,0,,,154,,0
canonical,CANONICAL — REPAIRED G2 OOF,33,52,MoS2,chalcogenide,Se,main_group,adsorbate,ads0,49,1.2367338433333317,3,0.057939480297954926,0.9645832476705554,5.8728900000000006e-05,1,,1564,,,0
canonical,CANONICAL — REPAIRED G2 OOF,34,54,NbSe2,chalcogenide,Si,main_group,adsorbate,ads2,28,0.972651794999992,3,0.025979832261954883,1.0208727306682748,7.06032e-05,1,,756,,,0
canonical,CANONICAL — REPAIRED G2 OOF,35,55,WSe2,chalcogenide,K,main_group,adsorbate,ads1,49,0.0902796099999545,1,0.04991486772090177,1.00239486317664,8.664649999999999e-05,1,,1362,,,0
canonical,CANONICAL — REPAIRED G2 OOF,36,56,WS2,chalcogenide,O,main_group,interstitial,int3,49,1.1988745550000317,3,0.48151008092526126,1.0241983606732905,2.1598400000000003e-05,1,1178,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,37,57,WS2,chalcogenide,Ru,4d,interstitial,int3,49,9.053654394999992,9,0.3973633870043862,1.1982490932373264,0.00145198,1,1397,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,38,58,WSe2,chalcogenide,Ge,main_group,adsorbate,ads2,49,2.8716773149999915,6,0.15143021368653198,1.1804051341954338,0.000804825,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,39,59,MoS2,chalcogenide,Cs,main_group,interstitial,int2,49,19.56350179499996,9,1.9779839116991802,3.6991530975141416,0.0400166,0,,,54,,0
canonical,CANONICAL — REPAIRED G2 OOF,40,60,WSe2,chalcogenide,Ni,3d,adsorbate,ads0,49,3.6584432949999535,7,0.06701644563471909,0.9405280523507789,0.0294971,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,41,61,MoSe2,chalcogenide,Ni,3d,adsorbate,ads1,49,1.8031626149999889,4,0.19774218350770156,0.8816318081981176,6.81381e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,42,63,WTe2,chalcogenide,I,main_group,adsorbate,ads1,28,0.6249471450000132,2,0.21002991439393415,1.2154885469045509,9.94813e-05,1,,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,43,65,MoSe2,chalcogenide,Mg,main_group,adsorbate,ads2,49,1.2766474249999762,3,0.046790742572045296,1.0933818606835746,9.59292e-05,1,,1272,,,0
canonical,CANONICAL — REPAIRED G2 OOF,44,66,NbS2,chalcogenide,Cs,main_group,interstitial,int4,28,12.194066054999984,9,0.9866046978832852,1.0982098890291394,4.77617e-05,1,513,,,,0
canonical,CANONICAL — REPAIRED G2 OOF,45,68,WTe2,chalcogenide,In,main_group,interstitial,int0,28,5.783479289999994,8,0.2638124656762759,1.108801833288822,6.08893e-05,1,1848,,,,0
