feature,coverage_overall,coverage_adsorbate,coverage_interstitial,coverage_gate
cn_5A,1.0,1.0,1.0,main_text_eligible
e_module_effective_mean_distance_A,1.0,1.0,1.0,main_text_eligible
e_module_effective_max_distance_A,1.0,1.0,1.0,main_text_eligible
smooth_cn_5A,1.0,1.0,1.0,main_text_eligible
neighbor_distance_std_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
postrelaxation_min_clearance_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
depth_boundary_distance,1.0,1.0,1.0,main_text_eligible
abs_log_extension_factor,1.0,1.0,1.0,main_text_eligible
e_module_effective_abs_electronegativity_contrast,1.0,1.0,1.0,main_text_eligible
local_abs_electronegativity_contrast,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
local_signed_covalent_radius_mismatch_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
local_abs_covalent_radius_mismatch_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
local_signed_electronegativity_mismatch,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
local_signed_valence_mismatch,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
local_abs_valence_mismatch,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
natoms,1.0,1.0,1.0,main_text_eligible
cell_area_A2,1.0,1.0,1.0,main_text_eligible
host_slab_thickness_A,1.0,1.0,1.0,main_text_eligible
train_host_support,1.0,1.0,1.0,main_text_eligible
train_impurity_support,1.0,1.0,1.0,main_text_eligible
abs_target_eV,1.0,1.0,1.0,main_text_eligible
abs_conv2,1.0,1.0,1.0,main_text_eligible
model_edge_zero_defect_neighbor_5A,1.0,1.0,1.0,main_text_eligible
e_module_oof_batch_activation_verified,1.0,1.0,1.0,main_text_eligible
e_module_zero_neighbor_semantics_verified,1.0,1.0,1.0,main_text_eligible
neighbor_distance_mean_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
neighbor_distance_max_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
model_edge_periodic_impurity_self_image_count_5A,1.0,1.0,1.0,main_text_eligible
host_only_cn_5A,1.0,1.0,1.0,main_text_eligible
host_only_neighbor_distance_mean_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
host_only_neighbor_distance_max_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
raw_graph_defect_edge_count_delta_5A,1.0,1.0,1.0,main_text_eligible
raw_graph_defect_edge_topology_match_5A,1.0,1.0,1.0,main_text_eligible
raw_graph_defect_edge_distance_max_abs_delta_A,0.9986306729264476,0.9981227436823105,0.9996968778417702,main_text_eligible
depth,1.0,1.0,1.0,main_text_eligible
extension_factor,1.0,1.0,1.0,main_text_eligible
conv2,1.0,1.0,1.0,main_text_eligible
en1,1.0,1.0,1.0,main_text_eligible
en2,1.0,1.0,1.0,main_text_eligible
