evidence_tier,evidence_label,axis,group,defecttype,n_samples,n_identities,sample_weighted_mae_eV,sample_weighted_ci_low_eV,sample_weighted_ci_high_eV,identity_macro_mae_eV,identity_macro_ci_low_eV,identity_macro_ci_high_eV,inferentially_eligible
canonical,CANONICAL — REPAIRED G2 OOF,host_family,carbide_mxene_like,overall,754,5,0.6881405342695315,0.5053367785837717,0.8965425476162513,0.7040530356381824,0.5569581511296574,0.8492896855739371,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,chalcogenide,overall,7289,27,0.38777193986468117,0.3568429914504748,0.42159998970945695,0.38735127080207876,0.35621932979408605,0.4208386120777968,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,elemental_hydrogenated,overall,1460,7,0.4381630685062799,0.3553269234583501,0.5548632925888141,0.435563971965989,0.3567982235800112,0.5474866485300733,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,halide_halochalcogenide,overall,496,4,0.8048179441477802,0.5073855175469565,1.7368315507183587,1.2487392828158692,0.7388493183271274,1.7391088543611777,0
canonical,CANONICAL — REPAIRED G2 OOF,host_family,oxide,overall,225,1,0.5984520505560211,,,0.5984520505560211,,,0
canonical,CANONICAL — REPAIRED G2 OOF,host_family,carbide_mxene_like,adsorbate,610,5,0.46756497680322007,0.32070043963810463,0.6870396639818804,0.5264834380545931,0.3441370371549814,0.7138077870973152,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,chalcogenide,adsorbate,4755,27,0.2564974693048704,0.23206417563409704,0.2837141930792366,0.26146838667401795,0.23563389858249104,0.28843618012412386,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,elemental_hydrogenated,adsorbate,1096,7,0.3479252656477011,0.28070484122091127,0.4256756492961,0.3416806939123788,0.28091560987933406,0.41784971433320006,1
canonical,CANONICAL — REPAIRED G2 OOF,host_family,halide_halochalcogenide,adsorbate,250,4,0.7342833941646012,0.34191529279862143,1.7546489988039364,1.281808024363182,0.5990654208333028,1.8441949732295089,0
canonical,CANONICAL — REPAIRED G2 OOF,host_family,oxide,adsorbate,214,1,0.5331453839745282,,,0.5331453839745282,,,0
canonical,CANONICAL — REPAIRED G2 OOF,host_family,carbide_mxene_like,interstitial,144,4,1.622523104092101,1.2001267480894249,2.088314733905395,1.6683107100104198,1.2416966970102519,2.085241016520387,0
