abs_log_extension_factor,axis,bh_q,block,bootstrap_p,ci_high_eV,ci_low_eV,contrast_eV,defecttype,evidence_label,evidence_tier,extension_factor,feature,feature_value,fold_signs,grid_index,grid_points,group,identity_macro_ci_high_eV,identity_macro_ci_low_eV,identity_macro_mae_eV,inferentially_eligible,interval_scope,model_edge_zero_defect_neighbor_5A,n_identities,n_samples,nuisance_control_same_direction,pair_absolute_error_eV,panel,paper_effect_gate,percent_contrast,pointwise_ci_high_eV,pointwise_ci_low_eV,predicted_abs_error_eV,predicted_high_error_eV,predicted_low_error_eV,q10,q90,raw_row_id,record_type,reference_label,reference_x,same_direction_folds,sample_index,sample_weighted_ci_high_eV,sample_weighted_ci_low_eV,sample_weighted_mae_eV,xf_le_2_same_direction,xf_pathology
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,21.0,,,,,,,,,,0,,,,2.926176374066766,a,,,,,,,,,,5,sample_observation,,,,0,,,,,
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,0.122498711116106,,,,,,,,,,0,,,,2.926176374066766,a,,,,,,,,,,5,sample_observation,,,,0,,,,,
0.12727763065037195,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,1.1357322881089045,extension_factor,1.1357322881089045,,,,,,,,,,0,,,,2.926176374066766,c,,,,,,,,,,5,sample_observation,XF = 2,2.0,,0,,,,,0
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,24.0,,,,,,,,,,0,,,,0.10479913653196782,a,,,,,,,,,,7,sample_observation,,,,1,,,,,
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,-0.019411680065977377,,,,,,,,,,0,,,,0.10479913653196782,a,,,,,,,,,,7,sample_observation,,,,1,,,,,
0.03199145497951022,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,1.0325086824595753,extension_factor,1.0325086824595753,,,,,,,,,,0,,,,0.10479913653196782,c,,,,,,,,,,7,sample_observation,XF = 2,2.0,,1,,,,,0
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,10.0,,,,,,,,,,0,,,,0.15581003165404095,a,,,,,,,,,,8,sample_observation,,,,2,,,,,
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,-0.13842739601487342,,,,,,,,,,0,,,,0.15581003165404095,a,,,,,,,,,,8,sample_observation,,,,2,,,,,
0.03033835563251154,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,0.970117233380424,extension_factor,0.970117233380424,,,,,,,,,,0,,,,0.15581003165404095,c,,,,,,,,,,8,sample_observation,XF = 2,2.0,,2,,,,,0
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,16.0,,,,,,,,,,0,,,,0.12676634150146837,a,,,,,,,,,,13,sample_observation,,,,4,,,,,
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,-0.01807040171483898,,,,,,,,,,0,,,,0.12676634150146837,a,,,,,,,,,,13,sample_observation,,,,4,,,,,
0.07194382430472533,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,0.9305831704995222,extension_factor,0.9305831704995222,,,,,,,,,,0,,,,0.12676634150146837,c,,,,,,,,,,13,sample_observation,XF = 2,2.0,,4,,,,,0
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,16.0,,,,,,,,,,0,,,,0.20893471048824974,a,,,,,,,,,,14,sample_observation,,,,5,,,,,
,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,-0.30151197690803566,,,,,,,,,,0,,,,0.20893471048824974,a,,,,,,,,,,14,sample_observation,,,,5,,,,,
0.1350359112174817,,,,,,,,adsorbate,CANONICAL — REPAIRED G2 OOF,canonical,0.8736845360492846,extension_factor,0.8736845360492846,,,,,,,,,,0,,,,0.20893471048824974,c,,,,,,,,,,14,sample_observation,XF = 2,2.0,,5,,,,,0
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,cn_5A,19.0,,,,,,,,,,0,,,,0.17763193643310693,a,,,,,,,,,,15,sample_observation,,,,6,,,,,
,,,,,,,,interstitial,CANONICAL — REPAIRED G2 OOF,canonical,,postrelaxation_min_clearance_A,-0.8633456400372417,,,,,,,,,,0,,,,0.17763193643310693,a,,,,,,,,,,15,sample_observation,,,,6,,,,,
