sample_index,id,unique_id,host,dopant,defecttype,site,target_eV,natoms,spacegroup,supercell
0,5,6d34bf467b0f0f89da56863bc5c1c46e,SnS2,Cl,interstitial,int0,4.801365439999993,28,187,331
1,7,224c5e9c96ca78071f7ae9035271c241,WS2,H,interstitial,int0,2.0896895974999854,49,187,441
2,8,68217c76b3d90d4b4849b922ce319bca,MoS2,Tc,adsorbate,ads0,6.043423804999988,49,187,441
3,11,f6e16632e222c1c0def39ce85640c9a0,MoTe2,Te,interstitial,ads1,2.0188652200000146,28,187,331
4,13,2c20f2cf26df75fef1d5d89d60b231f6,WTe2,Be,adsorbate,ads1,3.2260638650000035,28,187,331
5,14,a9f5872bd538d2b780589224264d7bbe,MoSe2,Ru,adsorbate,ads1,4.2163123349999685,49,187,441
6,15,bb48e72973907e609e7e1417955392ba,WTe2,Lu,interstitial,int0,4.2114044050000015,28,187,331
7,16,232f1b3b2b06d2e96599b2d101ff5d5c,MoS2,Zn,adsorbate,ads1,1.0672336199999883,49,187,441
8,17,e6633d4a31e0c049aea2fb78984d0fdd,MoTe2,Co,adsorbate,ads0,4.308469094999996,28,187,331
9,19,81b986e3a0c690c0385f800458509e49,WTe2,Hg,adsorbate,ads0,0.1673702150000045,28,187,331
10,20,33d270e805449181f428634976264330,SnS2,Ru,interstitial,int0,1.8610952650000008,28,187,331
11,21,1b713e937c9080caf91101909d7f6ff5,MoTe2,As,adsorbate,ads1,2.8542523049999966,28,187,331
12,24,506df6c814d2069acb03851df2b3a2b1,MoSe2,I,adsorbate,ads2,0.8601984549999802,49,187,441
13,26,d1dae9ef2c4f0ee78840a5f374b47606,MoS2,Au,adsorbate,ads0,2.3606605324999785,49,187,441
14,27,2ef312e8104f47e351e7db3ae0e50e36,NbS2,B,adsorbate,ads1,1.1171428375000083,28,187,331
15,28,f225a9e98551e2f6ec7ed7b15ab06ee7,SnS2,Rh,adsorbate,ads0,3.1086509999999947,28,187,331
16,29,66a2b1bfc0a42805accc547e6602123d,MoSe2,Cl,adsorbate,ads1,0.7582789600000082,49,187,441
17,31,77e64d1730d2ab4c25c021e37c50b342,WTe2,Ir,adsorbate,ads1,4.030844462500008,28,187,331
18,32,c79a9c681889f91b54f554346088eb49,SnS2,Hf,adsorbate,ads0,3.5400331999999946,28,187,331
19,33,345843b69a2127382dbda03440111e9c,MoSe2,N,adsorbate,ads1,5.438562150000001,49,187,441
20,34,2f123fb45a59185283a13fb5458b7e5b,NbS2,Br,adsorbate,ads0,-0.0135642337499999,28,187,331
21,35,e338a44c227846f4cba5cba2eef514ca,NbSe2,Os,adsorbate,ads0,8.288310070000014,28,187,331
22,37,f8240635c8eda73679cc96b5fe67aa35,WS2,Pt,adsorbate,ads2,3.6064450574999833,49,187,441
23,39,2b38aea5f32de0367bfedb8b1cdd3ca4,WTe2,H,adsorbate,ads0,2.246647777500017,28,187,331
24,40,e28aa779bd8dd01182c042d3df4b7335,SnS2,Cd,interstitial,int4,4.951312599999996,28,187,331
25,41,24074ff7c12b376b9f5fb09c1675e718,WSe2,Lu,adsorbate,ads1,2.7886018849999976,49,187,441
26,42,bbfd43f5f9d3ab0e7b4cad2530a5794c,WS2,Cl,interstitial,int3,9.3448726,49,187,441
27,43,93b2591ab330951e8a98622f204c4a75,SnS2,Li,adsorbate,ads0,-0.6758496400000087,28,187,331
28,44,27a8dcec7b5b325e9e4e62fba283c207,NbSe2,Mo,adsorbate,ads1,3.412059169999996,28,187,331
29,46,41ce8304a08aa7cd8b1efdd17b469a73,MoS2,C,adsorbate,ads1,5.810359127499978,49,187,441
30,47,57e43880a5669563b6711804c68fe6ed,WTe2,Al,adsorbate,ads1,2.402356442500007,28,187,331
31,50,45ab6a14c5beed9697f52df80374fc02,MoTe2,Sc,adsorbate,ads1,2.71409145500002,28,187,331
32,51,37413c81441b77808b288f18a5dfc409,SnS2,Ta,interstitial,int2,10.86908782,28,187,331
33,52,2f7fdca5c22c5e5872c99de402c2ace0,MoS2,Se,adsorbate,ads0,1.2367338433333317,49,187,441
34,54,80d8e27bf925cbb76c3f7b68beafc0da,NbSe2,Si,adsorbate,ads2,0.972651794999992,28,187,331
35,55,6a30d88453fb6b2d38217ec84fa6170c,WSe2,K,adsorbate,ads1,0.0902796099999545,49,187,441
36,56,f991a2085cf2ff3803b22abaa440b107,WS2,O,interstitial,int3,1.1988745550000317,49,187,441
37,57,d3643ed20e5335c33ec7859b6703aeb8,WS2,Ru,interstitial,int3,9.053654394999992,49,187,441
38,58,413afb636bb504b46c82b692180a2873,WSe2,Ge,adsorbate,ads2,2.8716773149999915,49,187,441
39,59,221b60f1fd66d3ed8197a1fca5d9741f,MoS2,Cs,interstitial,int2,19.56350179499996,49,187,441
40,60,aa807e6e6b2ad5fc9bd2faae7b9f5ace,WSe2,Ni,adsorbate,ads0,3.6584432949999535,49,187,441
41,61,1f1e777daf424dd88e97aaece27fd41a,MoSe2,Ni,adsorbate,ads1,1.8031626149999889,49,187,441
42,63,fc7327da5f3ba5dd73caf08438b7cca6,WTe2,I,adsorbate,ads1,0.6249471450000132,28,187,331
43,65,99c45e4ca134f824b0c31112813a1546,MoSe2,Mg,adsorbate,ads2,1.2766474249999762,49,187,441
44,66,e69ad38c70fde00c482d60d6aa2712eb,NbS2,Cs,interstitial,int4,12.194066054999984,28,187,331
45,68,70ed693fe178232ece5e9aa09c12f4e2,WTe2,In,interstitial,int0,5.783479289999994,28,187,331
46,71,a2da5840490c8e8bb316d13e3d52880f,SnS2,Be,adsorbate,ads0,2.1821784350000004,28,187,331
47,72,813cc21eab5716d64cba972b4390992b,WTe2,Pt,adsorbate,ads0,3.27616716750002,28,187,331
48,73,d60d81db24151114564ba8b3a5973934,MoSe2,O,adsorbate,ads0,0.3363265950000027,49,187,441
49,74,c97f8f800eafeca7da4a254f19ad0418,MoS2,As,adsorbate,ads2,2.9091969849999737,49,187,441
50,75,f8dc45e914c14b2a6d1def6fed90cc77,SnS2,Hg,adsorbate,ads1,-0.2609889550000028,28,187,331
51,76,924797555adf21388ad0c4b1bd7ceec8,WSe2,Li,interstitial,int0,3.636123819999967,49,187,441
52,77,581ead961818bc41d928a97d911c99b3,MoTe2,B,adsorbate,ads2,5.207470777500017,28,187,331
53,78,90abb73861b2111ecab4ef52c0c4ef58,WS2,N,interstitial,int2,7.260247569999995,49,187,441
54,79,67007383bcd3c9a62c8a9f0a058fd1e9,MoS2,Te,adsorbate,ads2,2.222274750000002,49,187,441
55,81,b5d19dbf95d1a167f9863aa71d8d77ec,WSe2,Ta,adsorbate,ads2,7.100990239999982,49,187,441
56,82,bbfeb54df3997e4dc698bc3965b1b3eb,NbS2,V,interstitial,int4,2.936797249999996,28,187,331
57,83,ce2ed6a10d36325689059a56207c06b5,MoSe2,Lu,adsorbate,ads0,3.0147438349999964,49,187,441
58,84,41844984a81d77701caea9f844fbfe36,MoS2,Cr,interstitial,int3,5.0787617250000014,49,187,441
59,85,e46540efcc2985e20e9973964076285c,MoSe2,Be,interstitial,int1,10.278102334999993,49,187,441
60,86,faaad4a70dd3a6ed7a505fc232ed5f9c,NbS2,Nb,interstitial,ads1,1.4658835999999908,28,187,331
61,88,2a29dd9b7820d23d3cb19ee3b68e6b1e,MoS2,B,adsorbate,ads0,5.214342887500006,49,187,441
62,89,bceec7068c969df1eb294643530d05ca,NbSe2,Mn,adsorbate,ads0,2.242971852499985,28,187,331
63,90,7ba7034f056eb63f18a7a4e6eb78fbb8,WTe2,Rh,adsorbate,ads1,2.62815827,28,187,331
64,91,6f799a63b6aa53f58f0e29b946881424,NbS2,Pd,adsorbate,ads2,1.2398027749999858,28,187,331
65,92,3cf7690ee6166a8be132f16a4aeaf564,SnS2,Ni,interstitial,int0,2.402539244999998,28,187,331
66,93,b7698d01abd816a74ca9518b1a3bddec,MoTe2,Sb,adsorbate,ads0,2.4370977500000075,28,187,331
67,94,368fc8bffd7fb5df1e2f4edf3966b651,WS2,S,interstitial,ads2,2.238595249999981,49,187,441
68,95,513edff7d2bb779332a955289e0f9b20,SnS2,Ge,interstitial,int2,3.795815975000002,28,187,331
69,97,9e27594558f404d97a2a49622a746c29,NbSe2,Ti,adsorbate,ads0,2.356604745000002,28,187,331
70,98,9859898958bb3de585de3f6915dd0b7d,WSe2,Mn,interstitial,int2,4.086142862499978,49,187,441
71,99,cc0c75db6d86ff6dec72dbbe5b769839,WSe2,Cl,adsorbate,ads0,0.5225081199999648,49,187,441
72,102,71a2d0b60fcb663373be07fbacb00ec7,NbSe2,Sr,interstitial,int0,6.3680150675000124,28,187,331
73,103,3c38fcbf001596eb9679578dc869e508,MoS2,Sc,adsorbate,ads2,2.490334964999992,49,187,441
74,104,5fc194581bf52ff1ac1450b5af657484,WTe2,Hf,adsorbate,ads1,5.13243010000002,28,187,331
75,106,2592022f229b82c72b65cc84533f18c1,WS2,Hg,adsorbate,ads2,0.1534876450000118,49,187,441
76,109,8891d39fb8a32082e840126514230db3,NbS2,Tl,adsorbate,ads1,-1.1004992150000172,28,187,331
77,110,caa03fbc01fa81028e02671c8fd73144,NbSe2,Cd,adsorbate,ads2,0.2938508299999988,28,187,331
78,112,3fd3a7125b3b7bc24df9ed212f64eddd,WTe2,Li,adsorbate,ads1,0.4730589200000008,28,187,331
79,115,1d4b0848f1e9d6029590b37ddc2b55c1,NbS2,C,adsorbate,ads0,4.827682627500009,28,187,331
80,116,f65bcde5e3d8ec8ade7ee7f45e0c5069,SnS2,Al,adsorbate,ads0,1.0807765724999991,28,187,331
81,118,e5594da0262acda6ee2d0bd7f80ed185,WTe2,S,interstitial,int2,2.8578394200000115,28,187,331
82,121,6107e3136e6b38114c21c90049df2d79,SnS2,Na,interstitial,int4,3.3790169266666705,28,187,331
83,122,4e7f5476b26caeaebb622825daa37439,WSe2,Ru,adsorbate,ads0,5.809584204999991,49,187,441
84,124,e88fea07bea55dd74ba02c21eeabdb2e,NbS2,Ag,interstitial,int1,12.233388667500009,28,187,331
85,125,c04d673e8ca0e7cba802cffd229e3896,WTe2,N,adsorbate,ads2,5.843084120000019,28,187,331
86,127,93adb6e7da855fb78ee72f5b4617c3cf,WTe2,Ca,interstitial,int4,6.184643537500008,28,187,331
87,128,a716b7e0b3c638c223211194ef6f9a4c,NbSe2,Pd,adsorbate,ads2,1.526397115000008,28,187,331
88,130,be676eb7e62a4ce52dfe73421fedaad2,WSe2,Tc,adsorbate,ads0,6.346788674999986,49,187,441
89,133,b6d3f173120c3160e34d3180c018d500,MoTe2,Ta,adsorbate,ads1,6.391212180000019,28,187,331
90,135,edce5dcfec474c282724ca3653cacc13,SnS2,Sc,interstitial,int2,4.0132046950000015,28,187,331
91,136,419797d6e894fbf33c15dca00f5b1cbc,WSe2,H,adsorbate,ads2,3.167068167499993,49,187,441
92,137,f08b8220b830139a20d3371765d63101,NbS2,Mn,adsorbate,ads0,1.8491570224999887,28,187,331
93,138,eb379b7823e5278351fa7c5c168441d5,NbSe2,Nb,interstitial,ads1,2.256965420000008,28,187,331
94,139,ac16c7f15c424d85aac9b32beb64d428,WTe2,Ba,adsorbate,ads1,0.9901200300000004,28,187,331
95,140,1f7a0607762ea45781f9321ac1c77324,SnS2,Zr,adsorbate,ads0,3.1118122849999974,28,187,331
96,141,cdd9c9b6e9c61e96aab41eac0f082a2f,WSe2,Zn,adsorbate,ads1,1.05399413999995,49,187,441
97,143,8efaacd8f235926a700377e611e1d4d6,MoSe2,P,interstitial,int2,6.795558159999981,49,187,441
98,146,f2ea3c590c84e864b8b2bcbb4ab5eeb7,NbSe2,Cs,interstitial,int4,9.927473284999996,28,187,331
99,147,53b376ce7f878755e59bda89d2473f7b,WS2,Cr,adsorbate,ads0,3.627657044999987,49,187,441
