regime,reference,comparator,bootstrap_unit,mae_difference_comparator_minus_dart_eV,ci_low_eV,ci_high_eV,n,n_resampling_units
id_cv,dart,schnet,sample,0.1536771752607308,0.13608415879996202,0.17395954418981793,10224,10224
id_cv,dart,descriptor:validation_selected,sample,0.20751520751138955,0.19434236683671846,0.22105841042338142,10224,10224
id_cv,dart,descriptor:mean,sample,1.880966683658561,1.8396055562029727,1.9216089005616528,10224,10224
pair_cv,dart,schnet,host_dopant_pair,0.17792117220784184,0.15730114184482424,0.2019849930100605,10224,2526
pair_cv,dart,descriptor:validation_selected,host_dopant_pair,0.2244714202220877,0.20730984332744548,0.24211638866194204,10224,2526
pair_cv,dart,descriptor:mean,host_dopant_pair,1.848733612626117,1.7933986580360117,1.9043000221193909,10224,2526
host_cv,dart,schnet,host,5.764909026978601,3.006161129306301,9.296189280786692,10224,44
host_cv,dart,descriptor:validation_selected,host,0.3277653736703744,0.205291989486006,0.45003677530897773,10224,44
host_cv,dart,descriptor:mean,host,1.3785071968816816,1.1886388906313325,1.5837927727002277,10224,44
dopant_cv,dart,schnet,dopant,0.8482477041009048,0.6264742069376421,1.0924090367436763,10224,65
dopant_cv,dart,descriptor:validation_selected,dopant,0.49167344431440063,0.36792336867948205,0.6231620086077402,10224,65
dopant_cv,dart,descriptor:mean,dopant,1.4702232032306843,1.2413148487751262,1.7140293590047826,10224,65
chemistry_block,dart,schnet,host_dopant_pair,0.12184466203570825,0.06910247670536548,0.17516612875790208,365,68
chemistry_block,dart,descriptor:validation_selected,host_dopant_pair,0.2558512488592797,0.18916777836186827,0.3231889355435037,365,68
chemistry_block,dart,descriptor:mean,host_dopant_pair,1.3869284737631842,1.165524513553341,1.6338391204844946,365,68
