model,regime,n,mae,rmse,bias,spearman,r2,favorable_n,favorable_mae,low_energy_k,low_energy_mae,low_energy_recall,predicted_low_energy_mean_target_eV,host_macro_mae,host_worst_group_mae,n_hosts,dopant_macro_mae,dopant_worst_group_mae,n_dopants
dart,id_cv,10224,0.41763565667904506,0.9187632465548937,-0.03419709312079024,0.9654006471258807,0.917663600311707,1607,0.3959406579030577,1022,0.44017971827097535,0.8708414872798435,-1.6239834797684338,0.4886042266578218,1.5415122359984037,44,0.43997555124588106,1.6210673451747875,65
schnet,id_cv,10224,0.571312831939776,1.276353948687299,-0.02575592756479297,0.9517057539822089,0.8410989020920874,1607,0.5803168472635919,1022,0.6465348123968004,0.7945205479452054,-1.5349050294940534,0.6063900094535608,1.2346263390606413,44,0.5973902979736857,1.6698561588116152,65
descriptor:lightgbm,id_cv,10224,0.6251508641904348,1.1372769917790713,-0.01589604391762417,0.9424148440147017,0.8738413156214384,1607,0.6348488320971861,1022,0.6980871803234177,0.8052837573385518,-1.530669025082769,0.6715986643842548,1.5187923348414027,44,0.6434200855893902,1.50664078678909,65
descriptor:mean,id_cv,10224,2.2986023403376064,3.202194162399028,1.9812541612479202e-06,-0.005398045308671953,-0.00018415067004040608,1607,3.8192723536220705,1022,4.362045290988687,0.10469667318982387,2.5061830380915655,2.401016398811596,5.659397887818456,44,2.3270825546961804,4.405667883529152,65
dart,pair_cv,10224,0.4497677970443787,0.9487303084008024,-0.033911584866839026,0.9622978797987629,0.912204916724649,1607,0.4498985893868786,1022,0.4804611853312892,0.860078277886497,-1.6029731304431731,0.5328886469829119,1.8511837555989408,44,0.46791994149018523,1.5015704391545466,65
schnet,pair_cv,10224,0.6276889692522206,1.330820523792317,-0.018251734478773273,0.9417129957753445,0.8272477847683951,1607,0.7010684883519855,1022,0.763754395165207,0.7573385518590998,-1.448629004478153,0.9091911430043087,11.263013249441679,44,0.6530266304116497,1.9376028361052973,65
descriptor:lightgbm,pair_cv,10224,0.6742392172664664,1.1972107225503654,-0.021132070718013794,0.9360412834760542,0.8601939900993958,1607,0.6981243507482222,1022,0.7701670622048035,0.7896281800391389,-1.496892073048359,0.7273432731222826,1.6601752152172113,44,0.6985791929123664,1.6296015276994822,65
descriptor:mean,pair_cv,10224,2.2985014096704957,3.202086523755295,4.48143123873175e-07,-0.00030242107320022077,-0.00011691136437441685,1607,3.8195713151792785,1022,4.3626554391256365,0.10176125244618395,2.4168584683602345,2.399872730017982,5.624186767296738,44,2.327078829843586,4.402140277703615,65
dart,host_cv,10224,0.9383314385408759,1.631324765529439,0.014373052300176966,0.8651697646165473,0.7404234212700962,1607,1.1338275181152968,1022,1.28381638187851,0.6917808219178082,-1.1448162686672392,0.9898480481792873,3.0385343943954184,44,0.9682923911680977,2.0466782621003663,65
schnet,host_cv,10224,6.703240465519477,12.817170070592546,3.7218391633381405,0.32438977656423074,-15.023926318320616,1607,7.885813693589703,1022,8.0453251732762,0.2465753424657534,1.0107850553563225,7.118526607966606,53.160537947384825,44,6.877550835012695,11.504362054654282,65
descriptor:hist_gradient_boosting,host_cv,10224,1.2732322909092866,2.078920211238512,0.03754146598822734,0.7780554302145541,0.5784391337472841,1607,1.489862896516313,1022,1.6506037041236732,0.62720156555773,-0.9170847511631607,1.2825885995445794,3.0827016571572265,44,1.3019873415951937,2.201863109939767,65
descriptor:mean,host_cv,10224,2.316838635422558,3.2263966985279042,-0.002536874746270336,-0.06816500631750741,-0.0153602901353318,1607,3.8254624627147056,1022,4.364470888825752,0.13209393346379647,2.4046013021371406,2.4179370256012196,5.739694258766718,44,2.343985708433773,4.409646736111928,65
