model,regime,n_folds,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,validation_mae_n,validation_mae_n_defined,validation_mae_interval_status,validation_rmse_mean,validation_rmse_std,validation_rmse_ci_low,validation_rmse_ci_high,validation_rmse_n,validation_rmse_n_defined,validation_rmse_interval_status,validation_bias_mean,validation_bias_std,validation_bias_ci_low,validation_bias_ci_high,validation_bias_n,validation_bias_n_defined,validation_bias_interval_status,validation_spearman_mean,validation_spearman_std,validation_spearman_ci_low,validation_spearman_ci_high,validation_spearman_n,validation_spearman_n_defined,validation_spearman_interval_status,validation_r2_mean,validation_r2_std,validation_r2_ci_low,validation_r2_ci_high,validation_r2_n,validation_r2_n_defined,validation_r2_interval_status,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high,test_mae_n,test_mae_n_defined,test_mae_interval_status,test_rmse_mean,test_rmse_std,test_rmse_ci_low,test_rmse_ci_high,test_rmse_n,test_rmse_n_defined,test_rmse_interval_status,test_bias_mean,test_bias_std,test_bias_ci_low,test_bias_ci_high,test_bias_n,test_bias_n_defined,test_bias_interval_status,test_spearman_mean,test_spearman_std,test_spearman_ci_low,test_spearman_ci_high,test_spearman_n,test_spearman_n_defined,test_spearman_interval_status,test_r2_mean,test_r2_std,test_r2_ci_low,test_r2_ci_high,test_r2_n,test_r2_n_defined,test_r2_interval_status
dart,chemistry_block,1,0.3650560072997892,0.0,,,1,1,not_estimable_single_fold,0.7835532387940197,0.0,,,1,1,not_estimable_single_fold,-0.06557686362493997,0.0,,,1,1,not_estimable_single_fold,0.949957182104614,0.0,,,1,1,not_estimable_single_fold,0.9242367705192988,0.0,,,1,1,not_estimable_single_fold,0.4289925385827888,0.0,,,1,1,not_estimable_single_fold,0.7696643058214928,0.0,,,1,1,not_estimable_single_fold,0.08479051981886772,0.0,,,1,1,not_estimable_single_fold,0.9209391189715156,0.0,,,1,1,not_estimable_single_fold,0.8957692245366626,0.0,,,1,1,not_estimable_single_fold
dart,dopant_cv,5,0.8173771906101723,0.11137924773001195,0.7417920513753691,0.9153187822870315,5,5,estimated,1.2608223744618534,0.15029576920641813,1.1418027929483467,1.3923308668688674,5,5,estimated,0.028044832081585435,0.20240775748865913,-0.09380229981164832,0.20384903116705466,5,5,estimated,0.8889934349627875,0.04059124340730043,0.8527151403333454,0.9143462003567671,5,5,estimated,0.8382450340798371,0.04318338421377538,0.8041870580757002,0.8724016205988709,5,5,estimated,0.8858969355434534,0.14040580275334205,0.7799268159392966,0.997377905861755,5,5,estimated,1.3462321017568128,0.18561579266291708,1.1975594158405851,1.5079143951691336,5,5,estimated,0.004099773711164834,0.30189303532995626,-0.19599174130503405,0.2765677320934256,5,5,estimated,0.8752559852261459,0.051045521480241114,0.8326764866687274,0.9108179832114391,5,5,estimated,0.8141958300029483,0.0575124501404138,0.7662642559928721,0.8582134726656129,5,5,estimated
dart,host_cv,5,0.8927069387906854,0.07245965506386608,0.8397734527317745,0.9527605700199802,5,5,estimated,1.5618754116709874,0.09159234458749543,1.4958900673385767,1.6385091503557443,5,5,estimated,0.018384222869059434,0.21907908041653293,-0.16561912524972494,0.18509801372043316,5,5,estimated,0.8860466465237099,0.02890598876676721,0.8632276200911008,0.9063841536061317,5,5,estimated,0.7456539182624177,0.066979922753974,0.6928610695841722,0.7984467669406631,5,5,estimated,1.0030892661789284,0.16494072884722677,0.8810954468426481,1.138687140246809,5,5,estimated,1.7020051663297544,0.17781897793078422,1.5462303523159424,1.8295075028409997,5,5,estimated,0.016286834651031347,0.3595872414228696,-0.28280460414210673,0.2787679771826438,5,5,estimated,0.8581921056951775,0.05230586637924248,0.8146509809761193,0.8970010787455781,5,5,estimated,0.6944043113637492,0.10036395055513335,0.6143720385029846,0.7714528770436969,5,5,estimated
dart,id_cv,5,0.41476341768253666,0.019955031312010214,0.4002048729919986,0.43174703278914955,5,5,estimated,0.9091710371531944,0.09157570801501363,0.8546927255535473,0.9930442059893924,5,5,estimated,-0.03818042027436171,0.04372757324761104,-0.07610667569162097,-0.006629312103323885,5,5,estimated,0.9659352984101582,0.0029249893424394737,0.9635760616738978,0.9681118761959141,5,5,estimated,0.9188622852444228,0.015236430953031201,0.9051160592941356,0.9277731806439313,5,5,estimated,0.4176372120354103,0.019048620389839975,0.4035501671466351,0.4332623281356155,5,5,estimated,0.914841033747971,0.09495993192216454,0.8444427583304007,0.9922510414746066,5,5,estimated,-0.03420187673351083,0.03481729989069255,-0.062374371483100086,-0.007821207200452042,5,5,estimated,0.9653171445764324,0.0030168889797586485,0.9628743386861182,0.9674024140120272,5,5,estimated,0.9180619064742797,0.01366251213444239,0.9062579206248834,0.9279959810402645,5,5,estimated
dart,id_repeat,5,0.37130699982263593,0.018037102092661024,0.35725813426175884,0.3853558653835131,5,5,estimated,0.8378712483751997,0.10127603007383602,0.763328962954772,0.9124135337956275,5,5,estimated,-0.04065089389916711,0.016112349963534986,-0.05405723411502037,-0.028806623995984205,5,5,estimated,0.9711638323568177,0.003447470822883892,0.9685427020680555,0.9738134106939785,5,5,estimated,0.9307091936650632,0.014709989447680486,0.9200989808799129,0.9435470980323432,5,5,estimated,0.3819841129156121,0.006067071736584771,0.37725862161350143,0.3868856805561289,5,5,estimated,0.8625584961582815,0.04851435023568295,0.8203108043117137,0.8955479653050125,5,5,estimated,-0.03162173224353156,0.02463892787809478,-0.05188771798926336,-0.013504113673067721,5,5,estimated,0.9699854574005314,0.004923599426842707,0.9666256735076125,0.9741149127192956,5,5,estimated,0.927149511494324,0.0060833512384524625,0.9220832841228237,0.9320206271975264,5,5,estimated
dart,pair_cv,5,0.44963507384375206,0.026956015856999787,0.42819382615183743,0.47107632153566675,5,5,estimated,0.9468366724046984,0.09190658448856935,0.8781776654960494,1.018513714427947,5,5,estimated,-0.03495338725011719,0.025260779446929595,-0.05350021508033974,-0.015251240966076478,5,5,estimated,0.9630789273270681,0.003752456420120014,0.9601549702628331,0.9660028843913031,5,5,estimated,0.9119275848694931,0.01654584946434593,0.8985154019545692,0.9243648046091983,5,5,estimated,0.44976722561615645,0.021948741314659834,0.4377237028913279,0.46976374644273405,5,5,estimated,0.9471422524334647,0.061316245417962885,0.9010571311332972,0.9965606657840673,5,5,estimated,-0.03391468930715992,0.03462099577211537,-0.06130832819196421,-0.0065210504223556145,5,5,estimated,0.962190006831143,0.0036282426801181296,0.9590579094569266,0.9645336071559848,5,5,estimated,0.9120825794851241,0.011965390350970105,0.9014866362493054,0.9205702181491603,5,5,estimated
descriptor:mean,chemistry_block,1,2.013688528995043,0.0,,,1,1,not_estimable_single_fold,2.8553674381434586,0.0,,,1,1,not_estimable_single_fold,-0.1929088429327768,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.0045852929001217735,0.0,,,1,1,not_estimable_single_fold,1.7728932913411153,0.0,,,1,1,not_estimable_single_fold,2.823572983202333,0.0,,,1,1,not_estimable_single_fold,-1.5112556889685156,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.4014811024173437,0.0,,,1,1,not_estimable_single_fold
descriptor:mean,dopant_cv,5,2.3117860674626978,0.0748565554780125,2.2575833744913787,2.370257582855429,5,5,estimated,3.215346828042656,0.0869545718966854,3.140966524864967,3.2764637382249795,5,5,estimated,-0.0006983129846357044,0.6125382997572644,-0.5101789327914811,0.45440310398511946,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.031992109604758935,0.03667770763273274,-0.06385933589006706,-0.0056621128191642,5,5,estimated,2.3146357151043775,0.05928704944300881,2.2647173042920365,2.3584468056309547,5,5,estimated,3.2154544451691507,0.08798607347799985,3.150246987743592,3.2883265689552337,5,5,estimated,-0.0006983129846358071,0.6133911481790956,-0.5352098362690484,0.4333605404133413,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.032147259927671666,0.040218511083224315,-0.06846782452252284,-0.0076476555820383044,5,5,estimated
descriptor:mean,host_cv,5,2.3202482204477457,0.15781851953267717,2.194487753840627,2.4267847312953923,5,5,estimated,3.2103751728123924,0.3281683910303092,2.9473894092231765,3.454161434303475,5,5,estimated,0.0029073966450614552,0.6442845573284712,-0.4611804456443814,0.5086179831932925,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037468148991064744,0.048323932948020766,-0.08069887715780114,-0.007632796371555362,5,5,estimated,2.3158348516069984,0.12771748601492441,2.2154731928066513,2.416196510407345,5,5,estimated,3.2107725709869386,0.3229855701492502,2.9664649248647144,3.4494282889923946,5,5,estimated,0.0029073966450614995,0.6441408750847907,-0.4733104184313678,0.49528777575840666,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037449740029471636,0.026373963311377705,-0.059060803139693266,-0.017797493968708798,5,5,estimated
descriptor:mean,id_cv,5,2.2986330168649745,0.05051960363288801,2.261438094144756,2.336957250688976,5,5,estimated,3.2013915411712133,0.08043099536014552,3.1403204657943213,3.266250270896049,5,5,estimated,-8.242741924199826e-06,0.08003860749213204,-0.06514712662850877,0.05344367460717185,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0004969686649571425,0.0006441325537271205,-0.00104089740401343,-8.643785517907787e-05,5,5,estimated,2.298604420633484,0.04877260186016263,2.2622022619315545,2.3363447849559753,5,5,estimated,3.20139745362588,0.08013359196007727,3.140626385349983,3.266064189344236,5,5,estimated,-8.242741924199826e-06,0.08003590747082316,-0.06002480642844622,0.06626743106901908,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0005044103007366463,0.0005901496415419653,-0.0009764852769937437,-6.703040304709696e-05,5,5,estimated
