model,family,regime,split_id,seed,manifest_path,manifest_sha256,prediction_path,git_commit,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
descriptor:hist_gradient_boosting,hist_gradient_boosting,chemistry_block,chemistry_block_g6x3d,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/metrics.json,d6c4764b6f6a472c652126fd26628d18d716e489f7b1c26669874292ab711f05,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/predictions.npz,,0.5720369330847043,0.8667047421959541,0.012374960128965126,0.9350668423051219,0.9074438766502957,0.6551289736490856,1.0675736230815116,0.28284489571559585,0.8731103614552976,0.7996520603809507
descriptor:lightgbm,lightgbm,chemistry_block,chemistry_block_g6x3d,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/metrics.json,d6c4764b6f6a472c652126fd26628d18d716e489f7b1c26669874292ab711f05,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/predictions.npz,,0.5478046892353602,0.8502493596793793,-0.00325015228224467,0.9355274620017887,0.9109250806865966,0.6418160664372107,1.0450747337433761,0.2290442313653657,0.8624004560451901,0.8080076577864768
descriptor:mean,mean,chemistry_block,chemistry_block_g6x3d,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/metrics.json,d6c4764b6f6a472c652126fd26628d18d716e489f7b1c26669874292ab711f05,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/predictions.npz,,2.013688528995043,2.8553674381434586,-0.1929088429327768,,-0.0045852929001217735,1.7728932913411153,2.823572983202333,-1.5112556889685156,,-0.4014811024173437
descriptor:random_forest,random_forest,chemistry_block,chemistry_block_g6x3d,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/metrics.json,d6c4764b6f6a472c652126fd26628d18d716e489f7b1c26669874292ab711f05,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/predictions.npz,,0.69419757957394,0.9432184593250696,0.029728030634450443,0.9127538274443089,0.890380606806455,0.7726357390244898,1.094581767288128,0.10566553220846787,0.8304015319959629,0.7893867790284174
descriptor:ridge,ridge,chemistry_block,chemistry_block_g6x3d,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/metrics.json,d6c4764b6f6a472c652126fd26628d18d716e489f7b1c26669874292ab711f05,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/chemistry_block_g6x3d/predictions.npz,,1.4305364420744426,1.975023573948872,-0.025163327596253206,0.6612193414583603,0.5193738701911195,1.2364804650602923,1.796848055650589,0.14932992557103086,0.5960100981434915,0.43243981893045613
descriptor:hist_gradient_boosting,hist_gradient_boosting,dopant_cv,dopant_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/metrics.json,760bbb5eb89740a6d6358725ff768544083993a0508a081128d237a88e802984,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/predictions.npz,,1.0647044769940368,1.6049585391411372,-0.03167035288649894,0.8329690270511577,0.7423218796084105,1.1118423331230884,1.6011851025166068,-0.11597743949374963,0.8210687973666909,0.7674149842463519
descriptor:lightgbm,lightgbm,dopant_cv,dopant_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/metrics.json,760bbb5eb89740a6d6358725ff768544083993a0508a081128d237a88e802984,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/predictions.npz,,1.0751652441135888,1.6077399596356958,-0.11166520921019822,0.8342386088249638,0.7414279845651086,1.1215507203448576,1.6105841383914805,-0.07290090384656663,0.8235477454530649,0.7646763988228652
descriptor:mean,mean,dopant_cv,dopant_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/metrics.json,760bbb5eb89740a6d6358725ff768544083993a0508a081128d237a88e802984,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/predictions.npz,,2.3585683280520278,3.1747652726953466,-0.2873772935820735,,-0.008261422045627631,2.3389791476582444,3.3287261086015376,0.23953781324435897,,-0.0052053125489399665
descriptor:random_forest,random_forest,dopant_cv,dopant_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/metrics.json,760bbb5eb89740a6d6358725ff768544083993a0508a081128d237a88e802984,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/predictions.npz,,1.2052595684904515,1.8234386764819213,-0.03692624807619807,0.7724176322795486,0.6673923506852271,1.1209621997588401,1.6899416863582535,-0.043223069385518106,0.8368004029905368,0.7409151082135882
descriptor:ridge,ridge,dopant_cv,dopant_cv5_f0,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/metrics.json,760bbb5eb89740a6d6358725ff768544083993a0508a081128d237a88e802984,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f0/predictions.npz,,1.901261678133199,2.552875407975058,-0.1830452912896832,0.5440154016442026,0.34805771863085744,2.043998110664446,2.7921443371714587,0.5989248266900542,0.6229402959965842,0.29274768064506973
descriptor:hist_gradient_boosting,hist_gradient_boosting,dopant_cv,dopant_cv5_f1,42,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/metrics.json,a46792e48c0acd71c018202d7a7420142897ec878164ee344de3d1b6b8727ef9,/storage/ssd/metaiot_guest/yiminghua/prm_runs_v2/baselines/descriptors/dopant_cv5_f1/predictions.npz,,1.0674057183797638,1.517420295165993,0.4424169841909266,0.8832377412981878,0.7792190363851038,1.1847660651893575,1.6769619802341107,0.20999056001095726,0.8049508384353216,0.7186827642638822
