model,regime,n_folds,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,validation_mae_n,validation_mae_n_defined,validation_mae_interval_status,validation_rmse_mean,validation_rmse_std,validation_rmse_ci_low,validation_rmse_ci_high,validation_rmse_n,validation_rmse_n_defined,validation_rmse_interval_status,validation_bias_mean,validation_bias_std,validation_bias_ci_low,validation_bias_ci_high,validation_bias_n,validation_bias_n_defined,validation_bias_interval_status,validation_spearman_mean,validation_spearman_std,validation_spearman_ci_low,validation_spearman_ci_high,validation_spearman_n,validation_spearman_n_defined,validation_spearman_interval_status,validation_r2_mean,validation_r2_std,validation_r2_ci_low,validation_r2_ci_high,validation_r2_n,validation_r2_n_defined,validation_r2_interval_status,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high,test_mae_n,test_mae_n_defined,test_mae_interval_status,test_rmse_mean,test_rmse_std,test_rmse_ci_low,test_rmse_ci_high,test_rmse_n,test_rmse_n_defined,test_rmse_interval_status,test_bias_mean,test_bias_std,test_bias_ci_low,test_bias_ci_high,test_bias_n,test_bias_n_defined,test_bias_interval_status,test_spearman_mean,test_spearman_std,test_spearman_ci_low,test_spearman_ci_high,test_spearman_n,test_spearman_n_defined,test_spearman_interval_status,test_r2_mean,test_r2_std,test_r2_ci_low,test_r2_ci_high,test_r2_n,test_r2_n_defined,test_r2_interval_status
descriptor:mean,chemistry_block,1,2.013688528995043,0.0,,,1,1,not_estimable_single_fold,2.8553674381434586,0.0,,,1,1,not_estimable_single_fold,-0.1929088429327768,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.0045852929001217735,0.0,,,1,1,not_estimable_single_fold,1.7728932913411153,0.0,,,1,1,not_estimable_single_fold,2.823572983202333,0.0,,,1,1,not_estimable_single_fold,-1.5112556889685156,0.0,,,1,1,not_estimable_single_fold,,,,,1,0,undefined_or_incomplete_metric,-0.4014811024173437,0.0,,,1,1,not_estimable_single_fold
descriptor:mean,dopant_cv,5,2.3117860674626978,0.0748565554780125,2.2575833744913787,2.370257582855429,5,5,estimated,3.215346828042656,0.0869545718966854,3.140966524864967,3.2764637382249795,5,5,estimated,-0.0006983129846357044,0.6125382997572644,-0.49053268604152267,0.45440310398511946,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.031992109604758935,0.03667770763273274,-0.06385933589006706,-0.0056621128191642,5,5,estimated,2.3146357151043775,0.05928704944300881,2.2647173042920365,2.3584468056309547,5,5,estimated,3.2154544451691507,0.08798607347799985,3.150246987743592,3.2883265689552337,5,5,estimated,-0.0006983129846358071,0.6133911481790956,-0.5352098362690484,0.4333605404133413,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.032147259927671666,0.040218511083224315,-0.06846782452252284,-0.0076476555820383044,5,5,estimated
descriptor:mean,host_cv,5,2.3202482204477457,0.15781851953267717,2.194487753840627,2.4267847312953923,5,5,estimated,3.2103751728123924,0.3281683910303092,2.9473894092231765,3.454161434303475,5,5,estimated,0.0029073966450614552,0.6442845573284712,-0.4611804456443814,0.5583411353632,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037468148991064744,0.048323932948020766,-0.08069887715780114,-0.007632796371555362,5,5,estimated,2.3158348516069984,0.12771748601492441,2.2154731928066513,2.416196510407345,5,5,estimated,3.2107725709869386,0.3229855701492502,2.9664649248647144,3.4494282889923946,5,5,estimated,0.0029073966450614995,0.6441408750847907,-0.4733104184313678,0.49528777575840666,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.037449740029471636,0.026373963311377705,-0.059060803139693266,-0.017797493968708798,5,5,estimated
descriptor:mean,id_cv,5,2.2986330168649745,0.05051960363288801,2.261438094144756,2.336957250688976,5,5,estimated,3.2013915411712133,0.08043099536014552,3.1403204657943213,3.266250270896049,5,5,estimated,-8.242741924199826e-06,0.08003860749213204,-0.06514712662850877,0.05344367460717185,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0004969686649571425,0.0006441325537271205,-0.00104089740401343,-8.643785517907787e-05,5,5,estimated,2.298604420633484,0.04877260186016263,2.262202261931555,2.3363447849559753,5,5,estimated,3.20139745362588,0.08013359196007727,3.140626385349983,3.266064189344237,5,5,estimated,-8.242741924199826e-06,0.08003590747082316,-0.0614685966685358,0.06626743106901908,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0005044103007366463,0.0005901496415419653,-0.0009764852769937437,-6.703040304709696e-05,5,5,estimated
descriptor:mean,id_repeat,5,2.2884138988710694,0.10082327885047851,2.2142278127332147,2.3733226659107354,5,5,estimated,3.2043700547804854,0.15802582580255425,3.0846800346277625,3.325559083138745,5,5,estimated,-0.05691569166280552,0.18771527217275777,-0.17136905293163626,0.11537854396613192,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.0031303844888862288,0.0029201344158172686,-0.005645234960464362,-0.0011375087313821642,5,5,estimated,2.296710177969592,0.04096250431965917,2.271881258128848,2.3328326733608575,5,5,estimated,3.198422307099846,0.06656707082761383,3.138833977132073,3.2486418236810053,5,5,estimated,-0.08063098614018553,0.07939412748999965,-0.1469827061559497,-0.02250015510186489,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.001132149805160898,0.0016062388585320181,-0.0025669985595514256,-0.00016422354900869074,5,5,estimated
descriptor:mean,pair_cv,5,2.2986139223167545,0.021472777270082004,2.2820183492748405,2.3152684471252307,5,5,estimated,3.2015536214640514,0.0657462343056544,3.1516859445635044,3.2514212983645985,5,5,estimated,-6.868338966017906e-06,0.07495797839796178,-0.05849727885765858,0.05848354217972655,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.00043220159048007467,0.0002480447882682154,-0.0006168695419626502,-0.0002272956272159732,5,5,estimated,2.298504273742749,0.022367131258757052,2.282080784238656,2.316110228835657,5,5,estimated,3.201556486406967,0.0655706387249945,3.1519533678213465,3.251159604992588,5,5,estimated,-6.868338965990151e-06,0.07495712470552628,-0.05437782488141744,0.0553175501670359,5,5,estimated,,,,,5,0,undefined_or_incomplete_metric,-0.000435837154341856,0.0004645926913312671,-0.0008105456722057091,-0.00011131654507625654,5,5,estimated
descriptor:validation_selected,chemistry_block,1,0.5478046892353602,0.0,,,1,1,not_estimable_single_fold,0.8502493596793793,0.0,,,1,1,not_estimable_single_fold,-0.00325015228224467,0.0,,,1,1,not_estimable_single_fold,0.9355274620017887,0.0,,,1,1,not_estimable_single_fold,0.9109250806865966,0.0,,,1,1,not_estimable_single_fold,0.6418160664372107,0.0,,,1,1,not_estimable_single_fold,1.0450747337433761,0.0,,,1,1,not_estimable_single_fold,0.2290442313653657,0.0,,,1,1,not_estimable_single_fold,0.8624004560451901,0.0,,,1,1,not_estimable_single_fold,0.8080076577864768,0.0,,,1,1,not_estimable_single_fold
descriptor:validation_selected,dopant_cv,5,1.2290391700658359,0.25659781308084806,1.0656215719527933,1.4526755188864013,5,5,estimated,1.740825188541897,0.28738736872705894,1.5628481363613829,2.0028424546815056,5,5,estimated,0.20431934728161272,0.5942343315420722,-0.18264293122392147,0.6849705612427943,5,5,estimated,0.7926472351251532,0.0693690110501562,0.734362310807457,0.8403716005429237,5,5,estimated,0.6891238136916888,0.1141781357869446,0.5906538357536268,0.7621555245591625,5,5,estimated,1.3337918263493096,0.17678267690666596,1.195578451131166,1.4720052015674532,5,5,estimated,1.8321618564989677,0.20433787223532485,1.6723609883298685,1.991962724668067,5,5,estimated,0.2403814490744242,0.5529535493610817,-0.1902941327066215,0.67105703085547,5,5,estimated,0.7627251380800601,0.08288573208603811,0.6955790047246022,0.8255395787048403,5,5,estimated,0.6569729919322859,0.09858370373004764,0.5790367590083558,0.7319557542976886,5,5,estimated
descriptor:validation_selected,host_cv,5,1.1939421984850447,0.17759078246614884,1.0814558584845637,1.3516021929718236,5,5,estimated,1.98231489611818,0.21401875444277862,1.816733694262852,2.15963094278233,5,5,estimated,0.09567389070854482,0.5700488809966623,-0.3536880543648344,0.545035835781924,5,5,estimated,0.8196037124497224,0.06550029771211409,0.7593868348417459,0.8576823421529983,5,5,estimated,0.5812760866165623,0.16199861306899208,0.4411476255820612,0.6976053372596921,5,5,estimated,1.2660396264843023,0.18655752700978062,1.1199981910666619,1.4120810619019426,5,5,estimated,2.059964641812147,0.16842592751952554,1.9191780482644893,2.1857723225179506,5,5,estimated,0.026919781805073296,0.4840848782266439,-0.330717117666473,0.41878148756389616,5,5,estimated,0.789460510045308,0.0720926739478884,0.7262831040945584,0.8424955933596241,5,5,estimated,0.5569915166784265,0.1260504563772851,0.45329634888128717,0.6555627249111217,5,5,estimated
descriptor:validation_selected,id_cv,5,0.6263364146941375,0.026285319228571545,0.6050772621515546,0.6462472043406899,5,5,estimated,1.1436813811830038,0.09950727387522462,1.068793919700728,1.22466739480955,5,5,estimated,-0.014187014151371857,0.03117771402415416,-0.03874682734466994,0.010372799041926227,5,5,estimated,0.9431252887554724,0.0030807412947256438,0.940426748573876,0.9449327940911584,5,5,estimated,0.8720412924961867,0.01795697300576655,0.856940396561205,0.8847242381729845,5,5,estimated,0.6251510607094752,0.019000132808063154,0.6123293837045758,0.6410167706471535,5,5,estimated,1.1347527270112212,0.08481141149939078,1.069615009121017,1.1998904449014254,5,5,estimated,-0.015900290013120162,0.027505548360121472,-0.03900162183515514,0.0028256892115559235,5,5,estimated,0.9423783147095467,0.0024719358736249105,0.9405133743295122,0.9442836029793875,5,5,estimated,0.8741688686705477,0.01380619992556301,0.8641010276681881,0.885253322998588,5,5,estimated
