model,regime,n_folds,validation_mae_mean,validation_mae_std,validation_mae_ci_low,validation_mae_ci_high,validation_mae_n,validation_mae_n_defined,validation_mae_interval_status,validation_rmse_mean,validation_rmse_std,validation_rmse_ci_low,validation_rmse_ci_high,validation_rmse_n,validation_rmse_n_defined,validation_rmse_interval_status,validation_bias_mean,validation_bias_std,validation_bias_ci_low,validation_bias_ci_high,validation_bias_n,validation_bias_n_defined,validation_bias_interval_status,validation_spearman_mean,validation_spearman_std,validation_spearman_ci_low,validation_spearman_ci_high,validation_spearman_n,validation_spearman_n_defined,validation_spearman_interval_status,validation_r2_mean,validation_r2_std,validation_r2_ci_low,validation_r2_ci_high,validation_r2_n,validation_r2_n_defined,validation_r2_interval_status,test_mae_mean,test_mae_std,test_mae_ci_low,test_mae_ci_high,test_mae_n,test_mae_n_defined,test_mae_interval_status,test_rmse_mean,test_rmse_std,test_rmse_ci_low,test_rmse_ci_high,test_rmse_n,test_rmse_n_defined,test_rmse_interval_status,test_bias_mean,test_bias_std,test_bias_ci_low,test_bias_ci_high,test_bias_n,test_bias_n_defined,test_bias_interval_status,test_spearman_mean,test_spearman_std,test_spearman_ci_low,test_spearman_ci_high,test_spearman_n,test_spearman_n_defined,test_spearman_interval_status,test_r2_mean,test_r2_std,test_r2_ci_low,test_r2_ci_high,test_r2_n,test_r2_n_defined,test_r2_interval_status
descriptor:hist_gradient_boosting,chemistry_block,1,0.5720369330847043,0.0,,,1,1,not_estimable_single_fold,0.8667047421959541,0.0,,,1,1,not_estimable_single_fold,0.012374960128965126,0.0,,,1,1,not_estimable_single_fold,0.9350668423051219,0.0,,,1,1,not_estimable_single_fold,0.9074438766502957,0.0,,,1,1,not_estimable_single_fold,0.6551289736490856,0.0,,,1,1,not_estimable_single_fold,1.0675736230815116,0.0,,,1,1,not_estimable_single_fold,0.28284489571559585,0.0,,,1,1,not_estimable_single_fold,0.8731103614552976,0.0,,,1,1,not_estimable_single_fold,0.7996520603809507,0.0,,,1,1,not_estimable_single_fold
descriptor:hist_gradient_boosting,dopant_cv,5,1.2383378297105243,0.2478639011794642,1.0914261779826242,1.4532157671635468,5,5,estimated,1.7454151131559854,0.2826127475833414,1.5766179102036475,2.0028424546815056,5,5,estimated,0.2265411300700393,0.6021945437154211,-0.18264293122392147,0.7305426587794852,5,5,estimated,0.7952984044827933,0.07321045954645179,0.7343623108074568,0.8466416048944909,5,5,estimated,0.6877982681710056,0.11280472225326349,0.5893282902329436,0.7595044335177961,5,5,estimated,1.3290782472456184,0.1812224956478197,1.1861512929237839,1.4720052015674532,5,5,estimated,1.8301838205431806,0.20613611685438835,1.6684049164182944,1.991962724668067,5,5,estimated,0.2573757274546029,0.549818523193,-0.1732998543264428,0.6880513092356486,5,5,estimated,0.764076622699249,0.08366011125250036,0.6955790047246022,0.8268910633240292,5,5,estimated,0.6576385961755683,0.09908637464030311,0.5797023632516384,0.7332869627842534,5,5,estimated
descriptor:hist_gradient_boosting,host_cv,5,1.1968318829081224,0.17605501019064523,1.0843455429076412,1.3516021929718236,5,5,estimated,1.9894524078537295,0.2017193664217791,1.8389481857166223,2.145813096126187,5,5,estimated,0.1287113094446549,0.5768353243914274,-0.3206506356287243,0.5780732545180342,5,5,estimated,0.8194406786079691,0.06537964295886597,0.7592299205469969,0.8573562744694918,5,5,estimated,0.5791799800056949,0.15922170254481788,0.4411476255820612,0.6934131240379571,5,5,estimated,1.273266286633755,0.1977927230992632,1.1199981910666619,1.4265343822008478,5,5,estimated,2.072785823831415,0.1813013544545799,1.9308017835157933,2.2114146865564877,5,5,estimated,0.04184933460511474,0.5015785613513236,-0.330717117666473,0.4337110403639377,5,5,estimated,0.7887781543434427,0.07344523376173168,0.7242360369889623,0.8406337639761083,5,5,estimated,0.5496272650696012,0.13905317275328147,0.4349408933512534,0.6555627249111217,5,5,estimated
descriptor:hist_gradient_boosting,id_cv,5,0.6403892955539279,0.03195343576643867,0.6156415782607084,0.6651370128471474,5,5,estimated,1.1571118349901457,0.10604796809146329,1.0768051123759037,1.2422676835976152,5,5,estimated,-0.006403939026539379,0.029719516021396365,-0.030371987097381804,0.016229621151653755,5,5,estimated,0.940953036086273,0.0031541660110475495,0.9385197323229356,0.9433863398496104,5,5,estimated,0.8690156200256236,0.01918959764418527,0.852811386790688,0.8828148506021233,5,5,estimated,0.635995163608294,0.016315701626347157,0.6250170883639665,0.6499898220459979,5,5,estimated,1.1470700019912148,0.08558519596069279,1.081044399611098,1.2130956043713312,5,5,estimated,-0.0019206231141018631,0.028436637387154858,-0.02466747822457454,0.01972587371830654,5,5,estimated,0.9411966783863196,0.002299128127791726,0.9391698988449788,0.9428024793317255,5,5,estimated,0.8714632887310876,0.013685961642092178,0.8611102699834345,0.8818163074787403,5,5,estimated
descriptor:hist_gradient_boosting,id_repeat,5,0.5956343861925288,0.023801069272658508,0.5745034407651043,0.6119493160059882,5,5,estimated,1.0798686236983355,0.11845333506488322,0.9774259731428361,1.1651410586466564,5,5,estimated,-0.009279788165567333,0.0583399114065642,-0.0525048089465404,0.03956711611545939,5,5,estimated,0.9457818981119985,0.00526518745389983,0.9420805693674652,0.9504010670637448,5,5,estimated,0.8856543805674046,0.019031110836983493,0.8716169718367667,0.9015418203424301,5,5,estimated,0.577225652256234,0.02353665543588694,0.5584658902801143,0.5959854142323538,5,5,estimated,1.0533828195811494,0.08424793232578086,0.9809593731547978,1.1118993854912709,5,5,estimated,-0.017441001471142144,0.0302304115418638,-0.040226531100684276,0.005344528158399991,5,5,estimated,0.9527281833210427,0.003395405758260699,0.9501134408841271,0.9553429257579584,5,5,estimated,0.891306323681464,0.01277573885615393,0.8827910076529667,0.902606895720894,5,5,estimated
descriptor:hist_gradient_boosting,pair_cv,5,0.688512537937714,0.028521487023769485,0.6708187398262466,0.7137311970012812,5,5,estimated,1.2076621199701567,0.07682427608564436,1.1469316312147166,1.2683926087255966,5,5,estimated,0.002749499596551323,0.05964155311493917,-0.03183499733642334,0.056880495915155094,5,5,estimated,0.9331720733636548,0.0031081160329398646,0.93090763373702,0.9358527934604233,5,5,estimated,0.8573602305145448,0.01599909531839964,0.8451967160666818,0.8695237449624076,5,5,estimated,0.686499797609711,0.02593660642076996,0.6678163428295246,0.7076251080890303,5,5,estimated,1.2008005593284943,0.05822594147762304,1.1531473360380105,1.2411551842707493,5,5,estimated,-0.0169238075581302,0.058708268628626846,-0.05816159069261047,0.033434661690877325,5,5,estimated,0.9339930774295195,0.00481455795678551,0.9312020196511342,0.9383781526239676,5,5,estimated,0.8590612224935562,0.012236299915324862,0.8501331630868056,0.8689471186508275,5,5,estimated
descriptor:lightgbm,chemistry_block,1,0.5478046892353602,0.0,,,1,1,not_estimable_single_fold,0.8502493596793793,0.0,,,1,1,not_estimable_single_fold,-0.00325015228224467,0.0,,,1,1,not_estimable_single_fold,0.9355274620017887,0.0,,,1,1,not_estimable_single_fold,0.9109250806865966,0.0,,,1,1,not_estimable_single_fold,0.6418160664372107,0.0,,,1,1,not_estimable_single_fold,1.0450747337433761,0.0,,,1,1,not_estimable_single_fold,0.2290442313653657,0.0,,,1,1,not_estimable_single_fold,0.8624004560451901,0.0,,,1,1,not_estimable_single_fold,0.8080076577864768,0.0,,,1,1,not_estimable_single_fold
descriptor:lightgbm,dopant_cv,5,1.2423726176663774,0.2671197481141126,1.0716413967735778,1.476877760240717,5,5,estimated,1.7405681899856407,0.28146547665709487,1.5652737941639672,1.9965727901687267,5,5,estimated,0.19627457024456307,0.6142233352452833,-0.2061520958781425,0.7117717345863399,5,5,estimated,0.7911524672875929,0.0664313950691899,0.7379250725594996,0.8413872659619684,5,5,estimated,0.689505678703334,0.11164339556309547,0.5937269812265793,0.7612424507723855,5,5,estimated,1.3466326310749317,0.1766470421083271,1.2064366310110892,1.4816702349888469,5,5,estimated,1.8552443726926906,0.23453102774930562,1.6810195969230262,2.049393352236291,5,5,estimated,0.24327803836652323,0.5900026286950765,-0.20855274190995116,0.6951088186429976,5,5,estimated,0.7589561693458192,0.08045580660598116,0.6966133471771941,0.8202648529105371,5,5,estimated,0.6480225188636307,0.10606729258632998,0.5645662784352337,0.72917115883011,5,5,estimated
descriptor:lightgbm,host_cv,5,1.2074608791745483,0.1884511041008639,1.0899884366127042,1.3777107514714768,5,5,estimated,1.9636450065414526,0.21598732752816965,1.7985579783933285,2.1423871555072878,5,5,estimated,0.12227995458217356,0.5361044703207359,-0.298413295906309,0.542973205070656,5,5,estimated,0.8161939672776674,0.07209456945572182,0.7501481260845899,0.8589782532178045,5,5,estimated,0.5853049591856243,0.17484469998764768,0.4328096755333794,0.711773726416016,5,5,estimated,1.2636224322116987,0.18025955959003476,1.129299660827027,1.4068272826682349,5,5,estimated,2.0566142192087256,0.1424856795069501,1.9439164865938394,2.169311951823612,5,5,estimated,-0.05590775581706424,0.5357853937910201,-0.46357859989416994,0.3517630882600415,5,5,estimated,0.7884945681137402,0.06631696251732164,0.7305531524986396,0.8295808692981466,5,5,estimated,0.5610709424859867,0.11522846370434967,0.4636119540133502,0.6442057700113208,5,5,estimated
descriptor:lightgbm,id_cv,5,0.6263364146941375,0.026285319228571545,0.6050772621515546,0.6462472043406899,5,5,estimated,1.1436813811830038,0.09950727387522462,1.068793919700728,1.22466739480955,5,5,estimated,-0.014187014151371857,0.03117771402415416,-0.03874682734466994,0.010372799041926227,5,5,estimated,0.9431252887554724,0.0030807412947256438,0.940426748573876,0.9449327940911584,5,5,estimated,0.8720412924961867,0.01795697300576655,0.856940396561205,0.8847242381729845,5,5,estimated,0.6251510607094752,0.019000132808063154,0.6123293837045758,0.6410167706471535,5,5,estimated,1.1347527270112212,0.08481141149939078,1.069615009121017,1.1998904449014254,5,5,estimated,-0.015900290013120162,0.027505548360121472,-0.03900162183515514,0.0028256892115559235,5,5,estimated,0.9423783147095467,0.0024719358736249105,0.9405133743295122,0.9442836029793875,5,5,estimated,0.8741688686705477,0.01380619992556301,0.8641010276681881,0.885253322998588,5,5,estimated
