split,metric,term,definition,repeat_effects,mean,std,ci_low,ci_high,n_paired_repeats
validation,mae,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.015833262588333008, -0.014937360854800297, -0.01827281749354337, -0.020758546901130548, -0.019025862614265143]",-0.017765570090414472,0.002373611548155716,-0.01956832730486695,-0.015934241553399807,5
validation,mae,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.01113023614481734, 0.004335089284169424, 0.008937476253521037, -0.004952477964202673, -0.010146603401961773]",-0.002591350394658265,0.008894643778231213,-0.00950123141155218,0.00431853062223565,5
validation,mae,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.01688969327654477, -0.021256085749071285, -0.03464893208407538, -0.022648540435271314, -0.016948243162053456]",-0.02247829894140324,0.007270851541381902,-0.028708715969910183,-0.017786391725253547,5
validation,mae,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0012350059879867037, -0.0061665965702918935, 0.003125185169353728, 0.004265288997773231, 0.010691345251965356]",0.002630045767357425,0.006066934671502596,-0.0024498838744336448,0.0072868453826473,5
validation,mae,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0042396923918969764, -0.01075392774428624, -0.01402811163528861, -0.005040954828987698, -0.001702958236789287]",-0.007153128967449763,0.005071609502383254,-0.011408764522486714,-0.003385251217272045,5
validation,mae,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.004970290403769395, -0.002530967630773151, 0.007965835245452468, 0.013579521227514935, 0.00022871072591812425]",0.004842677994376354,0.006359287884309652,7.315531881186832e-05,0.00978662193078308,5
validation,mae,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.000685000599866814, -0.0013037650675910561, -0.016266992571362215, -0.021316696951209524, 0.00041733599594134807]",-0.007557023598870926,0.010438112692960775,-0.015959949485809886,0.00018018162480505363,5
validation,rmse,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.05338654317547764, -0.06075941426458753, -0.043860407463429785, -0.0715594927797032, -0.0584889583244933]",-0.05761096320153829,0.010150967990648735,-0.06576488715583495,-0.049576088890658496,5
validation,rmse,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.036783081026001696, 0.04211589811211891, 0.015379052954515027, -0.021380664599214727, -0.06167267926462594]",-0.012468294764641685,0.0413721509835576,-0.043658437036094,0.020988733252974012,5
validation,rmse,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.031193484427152862, -0.06872930280260281, -0.0497158032347047, -0.020072750428851927, -0.01885198947356581]",-0.037712666073375624,0.021304333660029696,-0.05519529241427301,-0.02180859284639767,5
validation,rmse,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.020396341628689196, -0.014181358756724105, 0.0039007596887092877, 0.019250277547906314, 0.057310115991746735]",0.017335227220065485,0.026385647997408404,-0.0008087042348719376,0.039245489858527736,5
validation,rmse,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.00990081658164832, 0.006674509870862377, -0.01337078669087044, -0.0013805139234850383, 0.03092088466146814]",0.006548982099924672,0.016316512203497432,-0.005352668066177313,0.01961132998635635,5
validation,rmse,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.017649650930444905, -0.004015302424399292, 0.018540368545311936, 0.07159324831627756, -0.0002617912673863465]",0.020701234820049753,0.030225544747330822,0.0012465340009455428,0.046611664445351655,5
validation,rmse,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.007589399439184907, 0.0004989164114176381, -0.020568751532616725, -0.07196580438822464, -0.007395280249944736]",-0.021404063839710673,0.029257558288376482,-0.047193449657174605,-0.004276425423247821,5
validation,bias,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0008205357946295053, 0.01878456818031005, 0.003430006467899465, 0.035545035642653766, 0.007545100674470576]",0.013225049351992674,0.014240493989790446,0.003209237039905703,0.025488755165247533,5
validation,bias,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.009565598227506508, 0.013889366020895032, -0.011118586428478041, -0.01977821111445791, 0.004497898884715398]",-0.0005887868819638021,0.014297845129453358,-0.01217752430886905,0.010281565476303696,5
validation,bias,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.024368009746891173, -0.004512123486533792, -0.02174467137065186, -0.015770698013604267, 0.0003102888916336616]",-0.013217042745209486,0.01075116262072455,-0.021599212049738067,-0.004834873440680906,5
validation,bias,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0002634327005733503, -0.01003399097639521, -0.004731368616135854, -0.010393576262748398, 0.0015399663648959921]",-0.004776480438191364,0.005464895189670184,-0.009117300618884614,-0.000435660257498114,5
validation,bias,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0028493995185934207, 0.00574581750801631, 0.006567711087122355, -0.001792379846311594, -0.022887638811962478]",-0.0019034181089083973,0.01217795096464929,-0.012777517039015335,0.00549529134177415,5
validation,bias,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.01253813120250366, -0.007475186204956935, -0.008978013160643977, -0.005337400970626953, 0.005055143058649944]",-0.005854717696016316,0.006639683485059812,-0.010385961547756383,-0.00025755403793021605,5
validation,bias,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.004224512441750837, 0.010420737288702724, -0.0017727355959364123, 0.010787804416014488, -0.014503730019944525]",0.0018313177061174226,0.010482689879149494,-0.006972637673413451,0.009328319170237052,5
validation,spearman,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.004667940166310003, 0.0027834031009934534, 0.004481542833465801, 0.006987674140522371, 0.00208278025724562]",0.00420066809970745,0.001907794896055202,0.002739936807808063,0.005682873137774114,5
validation,spearman,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0027852776414465374, -0.0006265405553792514, -0.002197256503532641, 0.0010739964529645762, 0.0026169090597361055]",0.0007304772190470654,0.00213962364213716,-0.0009202802012482136,0.0023756739710659724,5
validation,spearman,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0017520152054627536, 0.0014016166610189007, 0.004998072876860493, 0.0020665867008882177, -0.0007727547107159172]",0.0018891073467028896,0.0020639232438134977,0.00030006755484064397,0.0036924843984977194,5
validation,spearman,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0008133004305298508, -0.001110155129829371, 0.0011811094369025277, -0.0013929549913392902, -0.0034005456604582207]",-0.001107169355050841,0.001632776469504209,-0.0024815784806487607,0.0002646036102097682,5
validation,spearman,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0010377281702864671, 0.00034726494233716654, 0.0023776283270346976, 0.0012613942901588127, -0.003925675544612095]",-0.00019542323107357706,0.002432163748480707,-0.0021929071200167184,0.0015250620353448375,5
validation,spearman,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.0031212784786327497, -6.931584068037289e-05, -0.0009323267232839161, -0.006130714060909925, 0.0004774597864559693]",-0.001955235063410199,0.0027071811503976027,-0.0043165473004085795,-2.3207766346544644e-05,5
validation,spearman,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0017185432762336639, 0.0013855074168257486, 0.0024396877007737405, 0.0038896517672102338, -0.0019793348524550503]",0.0014908110617176673,0.0021656215673150235,-0.0004225618879531323,0.0030196733273483377,5
validation,r2,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.009622175545793699, 0.011533498337646941, 0.007508494126906795, 0.010462716010871453, 0.011206430918099697]",0.010066662987863717,0.001608518874813817,0.008690182880492659,0.011188514904472946,5
validation,r2,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.006707883654238023, -0.008036124604088202, -0.0025561967299536636, 0.003220263078622887, 0.011737679632624065]",0.002214701006288622,0.007741573777515002,-0.003991337377596049,0.008022277930469413,5
validation,r2,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.005677898586774033, 0.012983612217129292, 0.008466742459960819, 0.0030470706460737906, 0.0037037656263220198]",0.0067758179072519905,0.004060247043761263,0.0038359142263131307,0.010224268947534143,5
validation,r2,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.003844419824178713, 0.00293404868326963, -0.0006821204669346104, -0.0029376508576683946, -0.010950249429300118]",-0.0030960783789624412,0.005110350826357217,-0.007475457715802736,0.0005853688668944201,5
validation,r2,G:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.001967108104028892, -0.0016891093921352907, 0.0020878733433424834, -0.0001940562502619203, -0.005859249921437826]",-0.001524330064904289,0.0029082802764544215,-0.0038921830813421375,0.0005770802491513738,5
validation,r2,E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.003300334278746986, 0.001063125288036093, -0.003199247547355455, -0.01046886570219796, -0.00029894670920083133]",-0.003240853789893028,0.004456132807353056,-0.00700117561890834,-8.198102476790759e-05,5
validation,r2,G:E:P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.0015233191623542641, -0.00024682729629843525, 0.0036719761085962643, 0.010514355267769449, 0.001669730441894668]",0.003426510736863242,0.004198202616089443,0.0008445428348012651,0.006993642923121235,5
test,mae,G,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.020344291036203777, -0.007412013694287067, -0.013611782387942362, -0.012922225611508353, -0.01527685646690563]",-0.013913433839369438,0.0046517952663290155,-0.01765128757689921,-0.01022493598754184,5
test,mae,E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.013000977724491936, 0.005867305255421229, -0.0009222533028091506, -0.0012219283918241675, -0.006090988536599284]",-0.0030737685400606617,0.0069938227934722525,-0.008854984211756345,0.002093648659438596,5
test,mae,P,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[-0.014628533631716178, -0.007455370885084189, -0.023453483268580322, -0.022278955815776935, -0.016399960432798788]",-0.016843260806791282,0.006451275650767442,-0.02157296772030266,-0.011854720420549136,5
test,mae,G:E,mean(metric | contrast=+1) - mean(metric | contrast=-1),"[0.00993079078435638, -0.019411462199813156, -0.0030052176754528093, -0.010420718021373954, 0.005160200452834496]",-0.0035492813318898087,0.011797127262009599,-0.012698980833595785,0.005435352959785788,5
