host,dopant,dopant_Z,dopant_period,defecttype,n_sites,true_best_site,n_tied_true_best_sites,predicted_best_site,exact_site_correct,top2_eligible,true_best_in_predicted_top2,uniform_exact_expectation,uniform_top2_expectation,screening_regret_eV,exact_gain_over_uniform,top2_gain_over_uniform
As2,Ag,47,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Al,13,3,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Au,79,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,B,5,2,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.14302157999999565,-0.3333333333333333,0.33333333333333326
As2,B,5,2,interstitial,2,int1,1,int1,1,0,,0.5,,0.0,0.5,
As2,Ba,56,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Be,4,2,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.5289901499999985,-0.3333333333333333,0.33333333333333326
As2,Be,4,2,interstitial,2,int1,1,int1,1,0,,0.5,,0.0,0.5,
As2,Br,35,4,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.007526859999998803,-0.3333333333333333,0.33333333333333326
As2,C,6,2,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,C,6,2,interstitial,3,int1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.13691226000000256,-0.3333333333333333,0.33333333333333326
As2,Ca,20,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Cd,48,5,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.2174109899999906,-0.3333333333333333,0.33333333333333326
As2,Cl,17,3,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.2599469999999967,-0.3333333333333333,0.33333333333333326
As2,Co,27,4,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,Cr,24,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Cs,55,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Cu,29,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,F,9,2,adsorbate,2,ads0,1,ads1,0,0,,0.5,,1.1021541599999978,-0.5,
As2,F,9,2,interstitial,3,ads2,1,int0,0,1,1,0.3333333333333333,0.6666666666666667,1.1064901300000116,-0.3333333333333333,0.33333333333333326
As2,Fe,26,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Ga,31,4,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,Ge,32,4,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.16234808999999473,-0.3333333333333333,0.33333333333333326
As2,H,1,1,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.11659901000000172,-0.3333333333333333,0.33333333333333326
As2,H,1,1,interstitial,2,int0,1,int0,1,0,,0.5,,0.0,0.5,
As2,Hf,72,6,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Hg,80,6,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.0408556400000037,-0.3333333333333333,0.33333333333333326
As2,I,53,5,adsorbate,3,ads2,1,ads0,0,1,0,0.3333333333333333,0.6666666666666667,0.1819253500000001,-0.3333333333333333,-0.6666666666666667
As2,K,19,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Li,3,2,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Lu,71,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
