host,dopant,dopant_Z,dopant_period,n_sites,true_preference,predicted_preference,preference_eligible,preference_correct,true_margin_eV,predicted_margin_eV,margin_absolute_error_eV,true_global_best,n_tied_true_global_best_sites,predicted_global_best,global_site_correct,global_uniform_exact_expectation,global_screening_regret_eV,majority_preference_correct,preference_gain_over_majority,global_exact_gain_over_uniform
As2,Ag,47,5,4,adsorbate,adsorbate,1,1,2.256500849999995,3.3721920251846313,1.1156911751846366,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,Al,13,3,4,adsorbate,adsorbate,1,1,1.9435646299999976,1.8603928089141846,0.083171821085813,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,Au,79,6,4,adsorbate,adsorbate,1,1,1.8303445399999982,2.3201651573181152,0.489820617318117,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,B,5,2,5,adsorbate,adsorbate,1,1,1.080271210000006,0.37904858589172363,0.7012226241082824,adsorbate:ads2,1,adsorbate:ads1,0,0.2,0.14302157999999565,1,0,-0.2
As2,Ba,56,6,4,adsorbate,adsorbate,1,1,0.806667570000002,1.2670743465423584,0.4604067765423564,adsorbate:ads1,1,adsorbate:ads2,0,0.25,0.049801680000001625,1,0,-0.25
As2,Be,4,2,5,adsorbate,adsorbate,1,1,1.8497335999999929,0.5776019096374512,1.2721316903625417,adsorbate:ads1,1,adsorbate:ads2,0,0.2,0.5289901499999985,1,0,-0.2
As2,C,6,2,5,adsorbate,adsorbate,1,1,1.1581801699999943,0.6417465209960938,0.5164336490039005,adsorbate:ads1,1,adsorbate:ads1,1,0.2,0.0,1,0,0.8
As2,Ca,20,4,4,adsorbate,adsorbate,1,1,3.6351497600000044,4.067352294921875,0.43220253492187055,adsorbate:ads1,1,adsorbate:ads2,0,0.25,0.0006650700000108145,1,0,-0.25
As2,Cd,48,5,4,adsorbate,adsorbate,1,1,4.681915230000001,4.088396072387695,0.593519157612306,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,Cl,17,3,4,adsorbate,adsorbate,1,1,4.768567119999999,4.908483028411865,0.13991590841186596,adsorbate:ads2,1,adsorbate:ads1,0,0.25,0.2599469999999967,1,0,-0.25
As2,Co,27,4,3,interstitial,interstitial,1,1,-1.5361832799999888,-1.5865416526794434,0.05035837267945453,interstitial:int1,1,interstitial:int1,1,0.3333333333333333,0.0,0,1,0.6666666666666667
As2,Cr,24,4,4,interstitial,interstitial,1,1,-0.6290403999999938,-0.17476439476013184,0.454276005239862,interstitial:int1,1,interstitial:int1,1,0.25,0.0,0,1,0.75
