host,n,median_natoms,add_mae_eV,mean_mae_eV,mean_minus_add_mae_eV
As2,231,19.0,13.884753442140736,4.017452697742032,-9.867300744398705
Bi2I6,52,33.0,6.615218772308034,5.346676851664446,-1.268541920643588
BiITe,54,28.0,13.476040979807685,2.5863723264582803,-10.889668653349405
C2H2,220,65.0,53.160537947384825,3.416209948194942,-49.744327999189885
Cr2I6,324,33.0,0.9079284531825995,8.066633261950448,7.158704808767849
Ge2,183,19.0,1.5861398086596887,2.3484013795863006,0.7622615709266118
Ge2H2,219,37.0,7.533022438717217,2.64565900150027,-4.887363437216948
Hf2Te6,416,73.0,26.324314307804062,1.8402705095688154,-24.48404379823525
HfS2,272,28.0,0.6750353688236804,1.8817021789782282,1.2066668101545477
HfSe2,272,28.0,1.1727378356401705,1.6491154783923352,0.47637764275216465
Mo2CO2,164,81.0,11.621356216824037,3.2642759712462004,-8.357080245577837
MoS2,285,49.0,2.064424763642637,3.3993480749568965,1.3349233113142596
MoSSe,442,49.0,0.7190306817071284,1.1755434550530077,0.45651277334587936
MoSe2,291,49.0,0.8113462462238787,1.6479497627952215,0.8366035165713428
MoTe2,259,28.0,2.378549101093479,1.8911756832496966,-0.4873734178437823
Nb2CO2,186,81.0,2.4011746385022423,2.949925653392227,0.5487510148899846
Nb4C3,204,113.0,24.333196359307642,3.0946254685251797,-21.238570890782462
NbS2,341,28.0,3.188565359365564,3.4418828878583168,0.2533175284927527
NbSe2,345,28.0,2.791428469419565,2.6369089567189956,-0.15451951270056918
NiSe2,252,28.0,0.8946223304307744,1.9517258740089223,1.057103543578148
P4,179,65.0,40.665003703947605,5.090058470337959,-35.57494523360965
PbI2,66,28.0,1.845662059671823,1.9466019697983439,0.10093991012652093
Pd2Se4,161,25.0,4.76699336423803,1.350390372286686,-3.4166029919513443
PtS2,273,28.0,2.2670597525344043,0.935841368663397,-1.3312183838710072
PtSe2,259,28.0,0.9317851126987023,2.520633112935798,1.5888480002370957
Re4S8,234,49.0,5.962586375845944,1.5231145289103867,-4.439471846935557
Re4Se8,257,49.0,1.0850350320257354,1.856550887200002,0.7715158551742667
Si2,233,19.0,6.766245874839923,2.4438610100915334,-4.32238486474839
Sn2,195,19.0,2.1680354872669843,1.72184916555483,-0.4461863217121542
SnS2,246,28.0,5.458828069569705,4.780028208198446,-0.6787998613712594
SnSe2,191,28.0,6.576780640522071,4.354166332843887,-2.2226143076781844
TaS2,213,28.0,3.9281383818634286,1.959272399299757,-1.9688659825636716
TaSe2,215,28.0,0.643374609059582,0.9145395169864738,0.27116490792689185
Ti2CO2,1,81.0,3.196637437546944,4.946904545828398,1.7502671082814536
TiO2,225,49.0,4.260419770415175,3.6354401900369844,-0.6249795803781906
TiS2,231,28.0,3.075140685367996,2.1885317227460224,-0.8866089626219735
V2CO2,199,81.0,26.362143141188838,2.4888980160195553,-23.873245125169284
W2Se4,228,97.0,3.936526546879257,1.7744003588810942,-2.162126187998163
W2Te4,268,55.0,5.40654195006282,1.8775958648286522,-3.528946085234168
WS2,246,49.0,1.7256540591800487,2.370337508741491,0.6446834495614422
WSe2,287,49.0,2.3156300088511053,2.856198433226512,0.5405684243754068
WTe2,265,28.0,1.7036612482530065,1.927434600524853,0.22377335227184658
ZrS2,264,28.0,0.7768981291444985,1.0702084397482103,0.2933103106037118
ZrSe2,276,28.0,0.8509657885714078,1.6135697718540227,0.7626039832826149
