category,run,model,data,params_M,epochs,seed,test_mae,test_rmse
per-run,ablate_local_only,baseline,cleaned_dataset.pkl,0.093,30,42,1.3973,2.0274
per-run,ablate_no_lattice,improved,cleaned_dataset.pkl,0.198,30,42,1.6792,2.3537
per-run,ablate_no_virtual,improved,cleaned_dataset.pkl,0.202,30,42,1.6826,2.3339
per-run,baseline,baseline,cleaned_dataset.pkl,0.198,30,42,0.8621,1.5216
per-run,baseline_aug,baseline,augmented_dataset.pkl,0.198,30,42,0.5112,0.7227
per-run,baseline_aug_long,baseline,augmented_dataset.pkl,0.198,50,42,0.4156,0.5955
per-run,baseline_aug_long_safe,baseline,augmented_dataset_safe.pkl,0.198,50,42,0.6277,1.2516
per-run,baseline_aug_safe,baseline,augmented_dataset_safe.pkl,0.198,30,42,0.6718,1.2461
per-run,baseline_aug_seed0,baseline,augmented_dataset.pkl,0.198,30,0,0.6815,0.961
per-run,baseline_aug_seed1,baseline,augmented_dataset.pkl,0.198,30,1,0.545,0.8611
per-run,baseline_aug_seed2,baseline,augmented_dataset.pkl,0.198,30,2,0.4761,0.7158
per-run,baseline_aug_seed3,baseline,augmented_dataset.pkl,0.198,30,3,0.5131,0.7632
per-run,baseline_h128,baseline,cleaned_dataset.pkl,1.06,30,42,1.8156,2.506
per-run,baseline_h128_aug,baseline,augmented_dataset.pkl,1.06,30,42,1.4734,1.9917
per-run,baseline_h128_aug_long,baseline,augmented_dataset.pkl,0.747,50,42,0.2058,0.31
per-run,baseline_h128_aug_long_safe,baseline,augmented_dataset_safe.pkl,0.747,50,42,0.5161,1.1314
per-run,baseline_h128_aug_long_safe_seed0,baseline,augmented_dataset_safe.pkl,0.747,50,0,0.5332,1.1701
per-run,baseline_h128_aug_long_safe_seed1,baseline,augmented_dataset_safe.pkl,0.747,50,1,0.545,1.2019
per-run,baseline_h128_aug_long_safe_seed2,baseline,augmented_dataset_safe.pkl,0.747,50,2,0.5517,1.1735
per-run,baseline_h128_aug_long_seed0,baseline,augmented_dataset.pkl,0.747,50,0,0.3172,0.4731
per-run,baseline_h128_aug_long_seed1,baseline,augmented_dataset.pkl,0.747,50,1,0.2604,0.497
per-run,baseline_h128_aug_long_seed2,baseline,augmented_dataset.pkl,0.747,50,2,0.2965,0.4281
per-run,baseline_h128_aug_long_seed3,baseline,augmented_dataset.pkl,0.747,50,3,0.2393,0.3904
per-run,baseline_h128_aug_xlong_safe,baseline,augmented_dataset_safe.pkl,0.747,100,42,0.478,1.1458
per-run,baseline_h128_aug_xlong_safe_seed0,baseline,augmented_dataset_safe.pkl,0.747,100,0,0.5036,1.1637
per-run,baseline_h128_long,baseline,cleaned_dataset.pkl,0.747,60,42,0.6221,1.1667
per-run,baseline_h192_aug_long_safe,baseline,augmented_dataset_safe.pkl,2.338,60,42,0.6736,1.291
per-run,baseline_long,baseline,cleaned_dataset.pkl,0.198,60,42,0.7371,1.3285
per-run,dast_dense,improved,cleaned_dataset.pkl,0.202,30,42,1.4857,2.1149
per-run,dast_dense_aug,improved,augmented_dataset.pkl,0.202,30,42,0.515,0.7444
per-run,improved,improved,cleaned_dataset.pkl,0.202,30,42,1.8269,2.5538
per-run,loho_C2H2,baseline,loho_C2H2.pkl,0.747,50,42,2.3987,4.3098
per-run,loho_Cr2I6,baseline,loho_Cr2I6.pkl,0.747,50,42,0.8401,1.3113
per-run,loho_MoS2,baseline,loho_MoS2.pkl,0.747,50,42,0.5163,1.0047
per-run,loho_MoSSe,baseline,loho_MoSSe.pkl,0.747,50,42,0.4479,1.02
per-run,loho_TaSe2,baseline,loho_TaSe2.pkl,0.747,50,42,0.6364,1.2436
multi-seed mean ± std,baseline_h128_aug_long_safe  (4 seeds),baseline,augmented_dataset_safe.pkl,0.747,50,mean,0.5365 ± 0.0135,1.1692 ± 0.0251
multi-seed mean ± std,baseline_h128_aug_xlong_safe  (2 seeds),baseline,augmented_dataset_safe.pkl,0.747,100,mean,0.4908 ± 0.0128,1.1547 ± 0.0090
ensemble (raw),deep ensemble (4 long seeds),ensemble,leak_free_v1,n×0.747,—,—,0.4644,1.1016
"ensemble (τ=2.60, eval-half)",deep ensemble (4 long seeds),ensemble + τ,leak_free_v1,n×0.747,—,—,0.4834,1.2014
ensemble (raw),deep ensemble (4 long + 2 xlong),ensemble,leak_free_v1,n×0.747,—,—,0.4428,1.0943
"ensemble (τ=1.83, eval-half)",deep ensemble (4 long + 2 xlong),ensemble + τ,leak_free_v1,n×0.747,—,—,0.4582,1.192
LOHO,loho_MoS2,baseline h128,loho_MoS2.pkl,0.747,50,42,0.5163,1.0047
LOHO,loho_Cr2I6,baseline h128,loho_Cr2I6.pkl,0.747,50,42,0.8401,1.3113
LOHO,loho_C2H2,baseline h128,loho_C2H2.pkl,0.747,50,42,2.3987,4.3098
LOHO,loho_TaSe2,baseline h128,loho_TaSe2.pkl,0.747,50,42,0.6364,1.2436
LOHO,loho_MoSSe,baseline h128,loho_MoSSe.pkl,0.747,50,42,0.4479,1.02
UQ method comparison,MC-Dropout (K=30),various,leak_free_v1,—,—,—,0.5155,1.1433
UQ method comparison,4-seed ensemble,various,leak_free_v1,—,—,—,0.4644,1.1016
UQ method comparison,6-member mixed ensemble,various,leak_free_v1,—,—,—,0.4428,1.0943
Feature ablation (permutation),perm-group,baseline h128,leak_free_v1,0.747,—,—,1.6644,—
Feature ablation (permutation),perm-valence_electrons,baseline h128,leak_free_v1,0.747,—,—,1.1503,—
Feature ablation (permutation),perm-electronegativity,baseline h128,leak_free_v1,0.747,—,—,0.9187,—
Feature ablation (permutation),perm-atomic_mass,baseline h128,leak_free_v1,0.747,—,—,0.8905,—
Feature ablation (permutation),perm-period,baseline h128,leak_free_v1,0.747,—,—,0.8735,—
Feature ablation (permutation),perm-covalent_radius,baseline h128,leak_free_v1,0.747,—,—,0.8303,—
Feature ablation (permutation),perm-ionisation_energy,baseline h128,leak_free_v1,0.747,—,—,0.654,—
Feature ablation (permutation),perm-vdW_radius,baseline h128,leak_free_v1,0.747,—,—,0.595,—
Feature ablation (permutation),perm-electron_affinity,baseline h128,leak_free_v1,0.747,—,—,0.5358,—
Cross-dataset (zero-shot),zero-shot_imp2d_test_single,baseline h128,imp2d_test_single,0.747,—,42,0.5164,1.1436
Cross-dataset (zero-shot),zero-shot_jarvis_2d_single,baseline h128,jarvis_2d_single,0.747,—,42,2.2967,2.9406
Cross-dataset (zero-shot),zero-shot_jarvis_3d_single,baseline h128,jarvis_3d_single,0.747,—,42,2.6261,3.3906
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k10_ft,baseline h128 (IMP2D pretrained),jarvis_2d,0.747,60,3-seed,1.5856,±0.0010
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k10_scratch,random init,jarvis_2d,0.747,60,3-seed,1.8671,±0.1209
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k20_ft,baseline h128 (IMP2D pretrained),jarvis_2d,0.747,60,3-seed,1.7639,±0.0357
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k20_scratch,random init,jarvis_2d,0.747,60,3-seed,1.8015,±0.0667
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k30_ft,baseline h128 (IMP2D pretrained),jarvis_2d,0.747,60,3-seed,1.5495,±0.0053
"Cross-dataset (few-shot v2, 3 seeds)",fewshot_k30_scratch,random init,jarvis_2d,0.747,60,3-seed,1.6773,±0.1149
"Cross-dataset (3D full v2, 3 seeds)",3d_full_ft,baseline h128 (IMP2D pretrained),jarvis_3d,0.747,80,3-seed,1.3159,±0.0451
"Cross-dataset (3D full v2, 3 seeds)",3d_full_scratch,random init,jarvis_3d,0.747,80,3-seed,1.3255,±0.0311
Active learning,active_uq_guided,baseline h128 (MC-Dropout),leak_free_v1,0.747,20×15,42,0.5049,AULC=374.3
Active learning,random_baseline,baseline h128,leak_free_v1,0.747,20×15,3-seed,0.4998,AULC=377.3
MAML OOD,best_MoS2,naive FT,loho_MoS2,0.747,—,42,0.2002,Δ=5.9%
MAML OOD,best_Cr2I6,naive FT,loho_Cr2I6,0.747,—,42,0.2543,Δ=4.0%
MAML OOD,best_C2H2,FOMAML,loho_C2H2,0.747,—,42,0.2764,Δ=7.4%
MAML OOD,best_TaSe2,FOMAML,loho_TaSe2,0.747,—,42,0.2399,Δ=1.4%
MAML OOD,best_MoSSe,FOMAML,loho_MoSSe,0.747,—,42,0.218,Δ=-1.0%
Architecture ablation,local_only,CrystalTransformer (no global),leak_free_v1,0.341,50,42,0.7092,—
Architecture ablation,rotation_invariance_test,baseline h128,leak_free_v1,0.747,—,42,mean_Δ=0.0476,max_Δ=0.2243
