Config: {"model": "baseline", "data_path": "data/processed/augmented_dataset.pkl", "output_dir": "results/baseline_aug_long", "seed": 42, "batch_size": 64, "epochs": 50, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.001, "weight_decay": 1e-05}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 64, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.0}}
Device: cuda
Model: CrystalTransformer | params=0.198M
Train/Val/Test sizes: 25538/3192/3193
Target stats: mean=2.6053 std=3.1978
Epoch 01/50 | train MAE 2.0959 | val MAE 2.0929 RMSE 2.7070 | lr 1.00e-03 | 11.6s *
Epoch 02/50 | train MAE 1.8730 | val MAE 1.8163 RMSE 2.4542 | lr 1.00e-03 | 10.9s *
Epoch 03/50 | train MAE 1.7645 | val MAE 1.7088 RMSE 2.3183 | lr 1.00e-03 | 10.9s *
Epoch 04/50 | train MAE 1.6766 | val MAE 1.5996 RMSE 2.1900 | lr 1.00e-03 | 10.9s *
Epoch 05/50 | train MAE 1.5978 | val MAE 1.6161 RMSE 2.2320 | lr 1.00e-03 | 10.8s 
Epoch 06/50 | train MAE 1.5390 | val MAE 1.5200 RMSE 2.0512 | lr 1.00e-03 | 11.1s *
Epoch 07/50 | train MAE 1.4789 | val MAE 1.4627 RMSE 1.9527 | lr 1.00e-03 | 10.9s *
Epoch 08/50 | train MAE 1.4158 | val MAE 1.4767 RMSE 2.0121 | lr 1.00e-03 | 11.0s 
Epoch 09/50 | train MAE 1.2678 | val MAE 1.1751 RMSE 1.6807 | lr 1.00e-03 | 10.9s *
Epoch 10/50 | train MAE 1.0300 | val MAE 1.0775 RMSE 1.5313 | lr 1.00e-03 | 10.9s *
Epoch 11/50 | train MAE 0.9455 | val MAE 0.9782 RMSE 1.4395 | lr 1.00e-03 | 10.8s *
Epoch 12/50 | train MAE 0.8788 | val MAE 1.1247 RMSE 1.5559 | lr 1.00e-03 | 11.1s 
Epoch 13/50 | train MAE 0.8587 | val MAE 0.9089 RMSE 1.3810 | lr 1.00e-03 | 11.0s *
Epoch 14/50 | train MAE 0.8291 | val MAE 0.8719 RMSE 1.3018 | lr 1.00e-03 | 10.9s *
Epoch 15/50 | train MAE 0.8043 | val MAE 0.8710 RMSE 1.2606 | lr 1.00e-03 | 10.8s *
Epoch 16/50 | train MAE 0.7727 | val MAE 0.7803 RMSE 1.1680 | lr 1.00e-03 | 10.9s *
Epoch 17/50 | train MAE 0.7224 | val MAE 1.1090 RMSE 1.4445 | lr 1.00e-03 | 10.8s 
Epoch 18/50 | train MAE 0.7291 | val MAE 0.9571 RMSE 1.2763 | lr 1.00e-03 | 10.9s 
Epoch 19/50 | train MAE 0.7092 | val MAE 0.7093 RMSE 1.0418 | lr 1.00e-03 | 11.1s *
Epoch 20/50 | train MAE 0.6493 | val MAE 0.8715 RMSE 1.2051 | lr 1.00e-03 | 10.8s 
Epoch 21/50 | train MAE 0.6888 | val MAE 0.7020 RMSE 1.0146 | lr 1.00e-03 | 10.9s *
Epoch 22/50 | train MAE 0.6531 | val MAE 0.6974 RMSE 1.0468 | lr 1.00e-03 | 10.9s *
Epoch 23/50 | train MAE 0.6228 | val MAE 0.6971 RMSE 1.0644 | lr 1.00e-03 | 10.9s *
Epoch 24/50 | train MAE 0.6389 | val MAE 0.8511 RMSE 1.1333 | lr 1.00e-03 | 10.9s 
Epoch 25/50 | train MAE 0.5984 | val MAE 0.6800 RMSE 0.9950 | lr 1.00e-03 | 11.1s *
Epoch 26/50 | train MAE 0.5757 | val MAE 0.6500 RMSE 0.9439 | lr 1.00e-03 | 10.9s *
Epoch 27/50 | train MAE 0.5625 | val MAE 0.6621 RMSE 0.9760 | lr 1.00e-03 | 10.9s 
Epoch 28/50 | train MAE 0.6306 | val MAE 0.7148 RMSE 1.0568 | lr 1.00e-03 | 10.8s 
Epoch 29/50 | train MAE 0.6017 | val MAE 0.5901 RMSE 0.8861 | lr 1.00e-03 | 10.9s *
Epoch 30/50 | train MAE 0.5804 | val MAE 0.6330 RMSE 0.9326 | lr 1.00e-03 | 11.0s 
Epoch 31/50 | train MAE 0.6134 | val MAE 0.7351 RMSE 1.0612 | lr 1.00e-03 | 11.2s 
Epoch 32/50 | train MAE 0.5258 | val MAE 0.5781 RMSE 0.8466 | lr 1.00e-03 | 10.9s *
Epoch 33/50 | train MAE 0.4955 | val MAE 0.5438 RMSE 0.7861 | lr 1.00e-03 | 10.9s *
Epoch 34/50 | train MAE 0.5162 | val MAE 0.6606 RMSE 0.8952 | lr 1.00e-03 | 10.9s 
Epoch 35/50 | train MAE 0.5029 | val MAE 0.5457 RMSE 0.7910 | lr 1.00e-03 | 10.9s 
Epoch 36/50 | train MAE 0.4746 | val MAE 0.6484 RMSE 0.8769 | lr 1.00e-03 | 11.0s 
Epoch 37/50 | train MAE 0.5297 | val MAE 0.6098 RMSE 0.9115 | lr 1.00e-03 | 11.1s 
Epoch 38/50 | train MAE 0.5667 | val MAE 0.5765 RMSE 0.8424 | lr 1.00e-03 | 10.9s 
Epoch 39/50 | train MAE 0.4684 | val MAE 0.5044 RMSE 0.7444 | lr 1.00e-03 | 10.9s *
Epoch 40/50 | train MAE 0.5072 | val MAE 0.6107 RMSE 0.9062 | lr 1.00e-03 | 11.0s 
Epoch 41/50 | train MAE 0.4620 | val MAE 0.5284 RMSE 0.7414 | lr 1.00e-03 | 10.9s 
Epoch 42/50 | train MAE 0.4575 | val MAE 0.5461 RMSE 0.7914 | lr 1.00e-03 | 10.9s 
Epoch 43/50 | train MAE 0.4644 | val MAE 0.5089 RMSE 0.7264 | lr 1.00e-03 | 10.9s 
Epoch 44/50 | train MAE 0.4661 | val MAE 0.4672 RMSE 0.6872 | lr 1.00e-03 | 11.1s *
Epoch 45/50 | train MAE 0.4124 | val MAE 0.4803 RMSE 0.7553 | lr 1.00e-03 | 10.9s 
Epoch 46/50 | train MAE 0.4276 | val MAE 0.5079 RMSE 0.7452 | lr 1.00e-03 | 10.9s 
Epoch 47/50 | train MAE 0.4856 | val MAE 0.5920 RMSE 0.8762 | lr 1.00e-03 | 10.9s 
Epoch 48/50 | train MAE 0.5115 | val MAE 0.5313 RMSE 0.7917 | lr 1.00e-03 | 10.9s 
Epoch 49/50 | train MAE 0.4651 | val MAE 0.4934 RMSE 0.7420 | lr 1.00e-03 | 10.8s 
Epoch 50/50 | train MAE 0.4354 | val MAE 0.4512 RMSE 0.6669 | lr 1.00e-03 | 11.1s *

[Final] Test MAE 0.4156 | RMSE 0.5955
