Config: {"model": "baseline", "data_path": "data/processed/augmented_dataset_safe.pkl", "output_dir": "results/baseline_aug_safe", "seed": 42, "batch_size": 64, "epochs": 30, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.001, "weight_decay": 1e-05}, "scheduler": {"factor": 0.5, "patience": 4}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 64, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.0}}
Device: cuda
Model: CrystalTransformer | params=0.198M
Train/Val/Test sizes: 25536/1064/1065
Target stats: mean=2.6040 std=3.1767
Epoch 01/30 | train MAE 2.1491 | val MAE 2.0665 RMSE 2.6437 | lr 1.00e-03 | 11.0s *
Epoch 02/30 | train MAE 1.8281 | val MAE 1.8689 RMSE 2.5027 | lr 1.00e-03 | 10.6s *
Epoch 03/30 | train MAE 1.6950 | val MAE 1.7095 RMSE 2.3071 | lr 1.00e-03 | 10.4s *
Epoch 04/30 | train MAE 1.5596 | val MAE 1.5409 RMSE 2.1428 | lr 1.00e-03 | 10.3s *
Epoch 05/30 | train MAE 1.3355 | val MAE 1.3285 RMSE 1.8683 | lr 1.00e-03 | 10.4s *
Epoch 06/30 | train MAE 1.1208 | val MAE 1.0764 RMSE 1.6165 | lr 1.00e-03 | 10.4s *
Epoch 07/30 | train MAE 1.0018 | val MAE 1.0724 RMSE 1.5865 | lr 1.00e-03 | 10.4s *
Epoch 08/30 | train MAE 0.9350 | val MAE 0.9866 RMSE 1.4911 | lr 1.00e-03 | 10.4s *
Epoch 09/30 | train MAE 0.9106 | val MAE 0.9437 RMSE 1.4787 | lr 1.00e-03 | 10.3s *
Epoch 10/30 | train MAE 0.8495 | val MAE 0.8833 RMSE 1.3862 | lr 1.00e-03 | 10.3s *
Epoch 11/30 | train MAE 0.8301 | val MAE 0.9311 RMSE 1.4657 | lr 1.00e-03 | 10.3s 
Epoch 12/30 | train MAE 0.8042 | val MAE 0.8697 RMSE 1.3811 | lr 1.00e-03 | 10.4s *
Epoch 13/30 | train MAE 0.7797 | val MAE 0.8471 RMSE 1.3776 | lr 1.00e-03 | 10.3s *
Epoch 14/30 | train MAE 0.7644 | val MAE 0.8588 RMSE 1.3789 | lr 1.00e-03 | 10.6s 
Epoch 15/30 | train MAE 0.7520 | val MAE 0.8451 RMSE 1.3540 | lr 1.00e-03 | 10.4s *
Epoch 16/30 | train MAE 0.7162 | val MAE 0.8889 RMSE 1.3428 | lr 1.00e-03 | 10.3s 
Epoch 17/30 | train MAE 0.7361 | val MAE 0.7857 RMSE 1.2094 | lr 1.00e-03 | 10.3s *
Epoch 18/30 | train MAE 0.6941 | val MAE 0.8432 RMSE 1.2868 | lr 1.00e-03 | 10.4s 
Epoch 19/30 | train MAE 0.6673 | val MAE 0.8056 RMSE 1.2369 | lr 1.00e-03 | 10.5s 
Epoch 20/30 | train MAE 0.6815 | val MAE 0.7515 RMSE 1.1958 | lr 1.00e-03 | 10.3s *
Epoch 21/30 | train MAE 0.6792 | val MAE 0.7897 RMSE 1.2449 | lr 1.00e-03 | 10.3s 
Epoch 22/30 | train MAE 0.6525 | val MAE 0.7414 RMSE 1.2119 | lr 1.00e-03 | 10.3s *
Epoch 23/30 | train MAE 0.5774 | val MAE 0.7292 RMSE 1.1767 | lr 1.00e-03 | 10.3s *
Epoch 24/30 | train MAE 0.5520 | val MAE 0.7406 RMSE 1.1787 | lr 1.00e-03 | 10.3s 
Epoch 25/30 | train MAE 0.5428 | val MAE 0.7072 RMSE 1.1401 | lr 1.00e-03 | 10.5s *
Epoch 26/30 | train MAE 0.5993 | val MAE 0.7751 RMSE 1.2688 | lr 1.00e-03 | 10.3s 
Epoch 27/30 | train MAE 0.5841 | val MAE 0.6927 RMSE 1.1431 | lr 1.00e-03 | 10.4s *
Epoch 28/30 | train MAE 0.5172 | val MAE 0.7053 RMSE 1.1218 | lr 1.00e-03 | 10.3s 
Epoch 29/30 | train MAE 0.5189 | val MAE 0.7159 RMSE 1.1475 | lr 1.00e-03 | 10.4s 
Epoch 30/30 | train MAE 0.4951 | val MAE 0.6756 RMSE 1.1318 | lr 1.00e-03 | 10.4s *

[Final] Test MAE 0.6718 | RMSE 1.2461
