Config: {"model": "baseline", "data_path": "data/processed/cleaned_dataset.pkl", "output_dir": "results/baseline_h128", "seed": 42, "batch_size": 64, "epochs": 30, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.001, "weight_decay": 1e-05}, "scheduler": {"factor": 0.5, "patience": 4}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 4, "n_global_layers": 3, "num_heads": 8, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.0}}
Device: cuda
Model: CrystalTransformer | params=1.060M
Train/Val/Test sizes: 8512/1064/1065
Target stats: mean=2.6040 std=3.1769
Epoch 01/30 | train MAE 2.3167 | val MAE 2.3215 RMSE 3.2822 | lr 1.00e-03 | 7.1s *
Epoch 02/30 | train MAE 2.3079 | val MAE 2.2948 RMSE 3.3172 | lr 1.00e-03 | 6.5s *
Epoch 03/30 | train MAE 2.2883 | val MAE 2.4082 RMSE 3.2366 | lr 1.00e-03 | 6.5s 
Epoch 04/30 | train MAE 2.2285 | val MAE 2.2451 RMSE 3.1090 | lr 1.00e-03 | 6.5s *
Epoch 05/30 | train MAE 2.1626 | val MAE 2.1514 RMSE 3.0477 | lr 1.00e-03 | 6.5s *
Epoch 06/30 | train MAE 2.1445 | val MAE 2.1549 RMSE 2.9569 | lr 1.00e-03 | 6.5s 
Epoch 07/30 | train MAE 2.1145 | val MAE 2.0542 RMSE 2.9155 | lr 1.00e-03 | 6.4s *
Epoch 08/30 | train MAE 2.1357 | val MAE 2.0868 RMSE 2.9657 | lr 1.00e-03 | 6.5s 
Epoch 09/30 | train MAE 2.1409 | val MAE 2.1087 RMSE 2.9728 | lr 1.00e-03 | 6.4s 
Epoch 10/30 | train MAE 2.0740 | val MAE 2.0536 RMSE 2.9156 | lr 1.00e-03 | 6.4s *
Epoch 11/30 | train MAE 2.1037 | val MAE 2.0767 RMSE 2.8586 | lr 1.00e-03 | 6.5s 
Epoch 12/30 | train MAE 2.0175 | val MAE 2.0054 RMSE 2.7218 | lr 1.00e-03 | 6.5s *
Epoch 13/30 | train MAE 2.1721 | val MAE 2.0286 RMSE 2.7588 | lr 1.00e-03 | 6.4s 
Epoch 14/30 | train MAE 2.0525 | val MAE 2.0867 RMSE 2.8206 | lr 1.00e-03 | 6.5s 
Epoch 15/30 | train MAE 2.0197 | val MAE 2.0173 RMSE 2.7537 | lr 1.00e-03 | 6.5s 
Epoch 16/30 | train MAE 1.9703 | val MAE 1.9461 RMSE 2.5976 | lr 1.00e-03 | 6.5s *
Epoch 17/30 | train MAE 1.9336 | val MAE 1.9677 RMSE 2.6526 | lr 1.00e-03 | 6.5s 
Epoch 18/30 | train MAE 1.9246 | val MAE 1.8930 RMSE 2.5495 | lr 1.00e-03 | 6.5s *
Epoch 19/30 | train MAE 1.9245 | val MAE 1.9035 RMSE 2.5500 | lr 1.00e-03 | 6.5s 
Epoch 20/30 | train MAE 1.9442 | val MAE 1.9066 RMSE 2.5705 | lr 1.00e-03 | 6.4s 
Epoch 21/30 | train MAE 1.9163 | val MAE 1.9209 RMSE 2.5815 | lr 1.00e-03 | 6.4s 
Epoch 22/30 | train MAE 1.8911 | val MAE 1.9025 RMSE 2.5408 | lr 1.00e-03 | 6.5s 
Epoch 23/30 | train MAE 1.8762 | val MAE 1.9522 RMSE 2.5725 | lr 5.00e-04 | 6.5s 
Epoch 24/30 | train MAE 1.8254 | val MAE 1.8625 RMSE 2.4827 | lr 5.00e-04 | 6.5s *
Epoch 25/30 | train MAE 1.8177 | val MAE 1.8291 RMSE 2.4267 | lr 5.00e-04 | 6.4s *
Epoch 26/30 | train MAE 1.8016 | val MAE 1.8004 RMSE 2.3908 | lr 5.00e-04 | 6.5s *
Epoch 27/30 | train MAE 1.8144 | val MAE 1.8149 RMSE 2.4306 | lr 5.00e-04 | 6.5s 
Epoch 28/30 | train MAE 1.8077 | val MAE 1.8181 RMSE 2.4242 | lr 5.00e-04 | 6.5s 
Epoch 29/30 | train MAE 1.7903 | val MAE 1.8167 RMSE 2.3923 | lr 5.00e-04 | 6.5s 
Epoch 30/30 | train MAE 1.7923 | val MAE 1.8242 RMSE 2.4544 | lr 5.00e-04 | 6.5s 

[Final] Test MAE 1.8156 | RMSE 2.5060
