Config: {"model": "baseline", "data_path": "data/processed/augmented_dataset_safe.pkl", "output_dir": "results/baseline_h128_aug_long_safe", "seed": 42, "batch_size": 64, "epochs": 50, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.0003, "weight_decay": 0.0001}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.1}}
Device: cuda
Model: CrystalTransformer | params=0.747M
Train/Val/Test sizes: 25536/1064/1065
Target stats: mean=2.6040 std=3.1767
Epoch 01/50 | train MAE 2.1045 | val MAE 1.8602 RMSE 2.5966 | lr 3.00e-04 | 14.8s *
Epoch 02/50 | train MAE 1.6382 | val MAE 1.4126 RMSE 2.0020 | lr 3.00e-04 | 14.3s *
Epoch 03/50 | train MAE 1.1986 | val MAE 1.1252 RMSE 1.6868 | lr 3.00e-04 | 14.1s *
Epoch 04/50 | train MAE 1.0463 | val MAE 1.0643 RMSE 1.5893 | lr 3.00e-04 | 14.1s *
Epoch 05/50 | train MAE 0.9708 | val MAE 0.9615 RMSE 1.4500 | lr 3.00e-04 | 14.1s *
Epoch 06/50 | train MAE 0.8912 | val MAE 0.8918 RMSE 1.3696 | lr 3.00e-04 | 14.1s *
Epoch 07/50 | train MAE 0.8275 | val MAE 0.8679 RMSE 1.3536 | lr 3.00e-04 | 14.0s *
Epoch 08/50 | train MAE 0.7768 | val MAE 0.8299 RMSE 1.3268 | lr 3.00e-04 | 14.4s *
Epoch 09/50 | train MAE 0.7405 | val MAE 0.7806 RMSE 1.2724 | lr 3.00e-04 | 14.3s *
Epoch 10/50 | train MAE 0.6940 | val MAE 0.8976 RMSE 1.3981 | lr 3.00e-04 | 14.2s 
Epoch 11/50 | train MAE 0.6688 | val MAE 0.8458 RMSE 1.2939 | lr 3.00e-04 | 14.0s 
Epoch 12/50 | train MAE 0.6010 | val MAE 0.7766 RMSE 1.2207 | lr 3.00e-04 | 14.2s *
Epoch 13/50 | train MAE 0.5806 | val MAE 0.7117 RMSE 1.1929 | lr 3.00e-04 | 14.1s *
Epoch 14/50 | train MAE 0.5760 | val MAE 0.7233 RMSE 1.1970 | lr 3.00e-04 | 14.3s 
Epoch 15/50 | train MAE 0.5491 | val MAE 0.6826 RMSE 1.1215 | lr 3.00e-04 | 14.1s *
Epoch 16/50 | train MAE 0.5327 | val MAE 0.6633 RMSE 1.1233 | lr 3.00e-04 | 14.2s *
Epoch 17/50 | train MAE 0.4883 | val MAE 0.6822 RMSE 1.1544 | lr 3.00e-04 | 14.2s 
Epoch 18/50 | train MAE 0.5767 | val MAE 0.6886 RMSE 1.1146 | lr 3.00e-04 | 14.0s 
Epoch 19/50 | train MAE 0.5272 | val MAE 0.7228 RMSE 1.1900 | lr 3.00e-04 | 14.3s 
Epoch 20/50 | train MAE 0.4527 | val MAE 0.5847 RMSE 1.0724 | lr 3.00e-04 | 14.1s *
Epoch 21/50 | train MAE 0.4093 | val MAE 0.6346 RMSE 1.1056 | lr 3.00e-04 | 14.2s 
Epoch 22/50 | train MAE 0.4283 | val MAE 0.6138 RMSE 1.0883 | lr 3.00e-04 | 14.1s 
Epoch 23/50 | train MAE 0.4087 | val MAE 0.6572 RMSE 1.1480 | lr 3.00e-04 | 14.1s 
Epoch 24/50 | train MAE 0.4274 | val MAE 0.6613 RMSE 1.1693 | lr 3.00e-04 | 14.0s 
Epoch 25/50 | train MAE 0.4626 | val MAE 0.6986 RMSE 1.1709 | lr 3.00e-04 | 14.5s 
Epoch 26/50 | train MAE 0.4445 | val MAE 0.6058 RMSE 1.0864 | lr 3.00e-04 | 14.2s 
Epoch 27/50 | train MAE 0.3723 | val MAE 0.5687 RMSE 1.0522 | lr 3.00e-04 | 14.3s *
Epoch 28/50 | train MAE 0.3600 | val MAE 0.5820 RMSE 1.0933 | lr 3.00e-04 | 14.1s 
Epoch 29/50 | train MAE 0.3926 | val MAE 0.6333 RMSE 1.1322 | lr 3.00e-04 | 14.1s 
Epoch 30/50 | train MAE 0.5649 | val MAE 0.6196 RMSE 1.1080 | lr 3.00e-04 | 14.1s 
Epoch 31/50 | train MAE 0.3583 | val MAE 0.6084 RMSE 1.0964 | lr 3.00e-04 | 14.2s 
Epoch 32/50 | train MAE 0.3310 | val MAE 0.6923 RMSE 1.1627 | lr 3.00e-04 | 14.2s 
Epoch 33/50 | train MAE 0.3316 | val MAE 0.5605 RMSE 1.0906 | lr 3.00e-04 | 14.0s *
Epoch 34/50 | train MAE 0.3606 | val MAE 0.6616 RMSE 1.1864 | lr 3.00e-04 | 14.2s 
Epoch 35/50 | train MAE 0.3575 | val MAE 0.5595 RMSE 1.0543 | lr 3.00e-04 | 14.0s *
Epoch 36/50 | train MAE 0.3528 | val MAE 0.6115 RMSE 1.0845 | lr 3.00e-04 | 14.2s 
Epoch 37/50 | train MAE 0.3843 | val MAE 0.6377 RMSE 1.1439 | lr 3.00e-04 | 14.2s 
Epoch 38/50 | train MAE 0.3309 | val MAE 0.5739 RMSE 1.0903 | lr 3.00e-04 | 14.1s 
Epoch 39/50 | train MAE 0.3218 | val MAE 0.5932 RMSE 1.1209 | lr 3.00e-04 | 14.1s 
Epoch 40/50 | train MAE 0.3241 | val MAE 0.5640 RMSE 1.0930 | lr 3.00e-04 | 14.2s 
Epoch 41/50 | train MAE 0.3274 | val MAE 0.5586 RMSE 1.1118 | lr 3.00e-04 | 14.2s *
Epoch 42/50 | train MAE 0.3356 | val MAE 0.5374 RMSE 1.0372 | lr 3.00e-04 | 14.4s *
Epoch 43/50 | train MAE 0.3007 | val MAE 0.5577 RMSE 1.0699 | lr 3.00e-04 | 14.1s 
Epoch 44/50 | train MAE 0.3266 | val MAE 0.5596 RMSE 1.0618 | lr 3.00e-04 | 14.1s 
