Config: {"model": "baseline", "data_path": "data/processed/augmented_dataset_safe.pkl", "output_dir": "results/baseline_h128_aug_long_safe_seed1", "seed": 1, "batch_size": 64, "epochs": 50, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.0003, "weight_decay": 0.0001}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.1}}
Device: cuda
Model: CrystalTransformer | params=0.747M
Train/Val/Test sizes: 25536/1064/1065
Target stats: mean=2.6040 std=3.1767
Epoch 01/50 | train MAE 2.0318 | val MAE 1.6918 RMSE 2.3684 | lr 3.00e-04 | 14.9s *
Epoch 02/50 | train MAE 1.4076 | val MAE 1.1890 RMSE 1.7541 | lr 3.00e-04 | 14.5s *
Epoch 03/50 | train MAE 1.1605 | val MAE 1.1784 RMSE 1.7372 | lr 3.00e-04 | 14.3s *
Epoch 04/50 | train MAE 1.0308 | val MAE 0.9744 RMSE 1.5015 | lr 3.00e-04 | 14.3s *
Epoch 05/50 | train MAE 0.9305 | val MAE 0.9291 RMSE 1.4123 | lr 3.00e-04 | 14.4s *
Epoch 06/50 | train MAE 0.8674 | val MAE 0.9927 RMSE 1.4656 | lr 3.00e-04 | 14.3s 
Epoch 07/50 | train MAE 0.8085 | val MAE 0.8819 RMSE 1.3580 | lr 3.00e-04 | 14.4s *
Epoch 08/50 | train MAE 0.7581 | val MAE 0.8796 RMSE 1.3257 | lr 3.00e-04 | 14.4s *
Epoch 09/50 | train MAE 0.7256 | val MAE 0.7976 RMSE 1.2251 | lr 3.00e-04 | 14.5s *
Epoch 10/50 | train MAE 0.6693 | val MAE 0.7691 RMSE 1.2428 | lr 3.00e-04 | 14.3s *
Epoch 11/50 | train MAE 0.6504 | val MAE 0.8008 RMSE 1.2442 | lr 3.00e-04 | 14.3s 
Epoch 12/50 | train MAE 0.6042 | val MAE 0.7025 RMSE 1.1474 | lr 3.00e-04 | 14.1s *
Epoch 13/50 | train MAE 0.5930 | val MAE 0.7552 RMSE 1.2243 | lr 3.00e-04 | 14.3s 
Epoch 14/50 | train MAE 0.5536 | val MAE 0.8023 RMSE 1.2950 | lr 3.00e-04 | 14.6s 
Epoch 15/50 | train MAE 0.5663 | val MAE 0.6764 RMSE 1.1669 | lr 3.00e-04 | 14.3s *
Epoch 16/50 | train MAE 0.5320 | val MAE 0.7030 RMSE 1.1586 | lr 3.00e-04 | 14.4s 
Epoch 17/50 | train MAE 0.4850 | val MAE 0.6509 RMSE 1.0666 | lr 3.00e-04 | 14.5s *
Epoch 18/50 | train MAE 0.5052 | val MAE 0.7226 RMSE 1.1316 | lr 3.00e-04 | 14.7s 
Epoch 19/50 | train MAE 0.4494 | val MAE 0.6909 RMSE 1.1562 | lr 3.00e-04 | 14.3s 
Epoch 20/50 | train MAE 0.4770 | val MAE 0.6694 RMSE 1.1458 | lr 3.00e-04 | 14.3s 
Epoch 21/50 | train MAE 0.4504 | val MAE 0.6193 RMSE 1.0548 | lr 3.00e-04 | 14.2s *
Epoch 22/50 | train MAE 0.4498 | val MAE 0.6474 RMSE 1.0758 | lr 3.00e-04 | 14.5s 
Epoch 23/50 | train MAE 0.4600 | val MAE 0.6310 RMSE 1.0605 | lr 3.00e-04 | 14.6s 
Epoch 24/50 | train MAE 0.3862 | val MAE 0.6330 RMSE 1.0521 | lr 3.00e-04 | 14.3s 
Epoch 25/50 | train MAE 0.4645 | val MAE 0.6555 RMSE 1.0726 | lr 3.00e-04 | 14.6s 
Epoch 26/50 | train MAE 0.4376 | val MAE 0.6458 RMSE 1.1213 | lr 3.00e-04 | 14.2s 
Epoch 27/50 | train MAE 0.3760 | val MAE 0.5898 RMSE 1.0287 | lr 3.00e-04 | 14.4s *
