Config: {"model": "baseline", "data_path": "data/processed/cleaned_dataset.pkl", "output_dir": "results/baseline_h128_long", "seed": 42, "batch_size": 64, "epochs": 60, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.0003, "weight_decay": 0.0001}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.1}}
Device: cuda
Model: CrystalTransformer | params=0.747M
Train/Val/Test sizes: 8512/1064/1065
Target stats: mean=2.6040 std=3.1769
Epoch 01/60 | train MAE 2.2521 | val MAE 2.1142 RMSE 2.7708 | lr 3.00e-04 | 5.6s *
Epoch 02/60 | train MAE 2.0911 | val MAE 1.9387 RMSE 2.5898 | lr 3.00e-04 | 4.9s *
Epoch 03/60 | train MAE 1.8742 | val MAE 1.7751 RMSE 2.4838 | lr 3.00e-04 | 5.0s *
Epoch 04/60 | train MAE 1.7833 | val MAE 1.6753 RMSE 2.3913 | lr 3.00e-04 | 4.9s *
Epoch 05/60 | train MAE 1.6269 | val MAE 1.3959 RMSE 2.1100 | lr 3.00e-04 | 5.0s *
Epoch 06/60 | train MAE 1.4047 | val MAE 1.3296 RMSE 1.9712 | lr 3.00e-04 | 5.0s *
Epoch 07/60 | train MAE 1.3385 | val MAE 1.4458 RMSE 2.0705 | lr 3.00e-04 | 5.0s 
Epoch 08/60 | train MAE 1.2440 | val MAE 1.2900 RMSE 1.9033 | lr 3.00e-04 | 5.0s *
Epoch 09/60 | train MAE 1.1939 | val MAE 1.2208 RMSE 1.8136 | lr 3.00e-04 | 5.0s *
Epoch 10/60 | train MAE 1.1199 | val MAE 1.0906 RMSE 1.6924 | lr 3.00e-04 | 5.0s *
Epoch 11/60 | train MAE 1.0989 | val MAE 1.1923 RMSE 1.7947 | lr 3.00e-04 | 5.0s 
Epoch 12/60 | train MAE 1.0768 | val MAE 1.1867 RMSE 1.7654 | lr 3.00e-04 | 4.9s 
Epoch 13/60 | train MAE 1.0033 | val MAE 1.1665 RMSE 1.6769 | lr 3.00e-04 | 5.0s 
Epoch 14/60 | train MAE 0.9932 | val MAE 1.0972 RMSE 1.6021 | lr 3.00e-04 | 4.9s 
Epoch 15/60 | train MAE 0.9553 | val MAE 1.0183 RMSE 1.5090 | lr 3.00e-04 | 5.0s *
Epoch 16/60 | train MAE 0.9016 | val MAE 0.9965 RMSE 1.5000 | lr 3.00e-04 | 5.1s *
Epoch 17/60 | train MAE 0.9376 | val MAE 0.9754 RMSE 1.4632 | lr 3.00e-04 | 5.0s *
Epoch 18/60 | train MAE 0.8828 | val MAE 0.8794 RMSE 1.4156 | lr 3.00e-04 | 5.0s *
Epoch 19/60 | train MAE 0.8745 | val MAE 0.9561 RMSE 1.5134 | lr 3.00e-04 | 5.0s 
Epoch 20/60 | train MAE 0.8361 | val MAE 0.9782 RMSE 1.5304 | lr 3.00e-04 | 4.9s 
Epoch 21/60 | train MAE 0.8284 | val MAE 0.8872 RMSE 1.4057 | lr 3.00e-04 | 5.0s 
Epoch 22/60 | train MAE 0.8467 | val MAE 0.9275 RMSE 1.4073 | lr 3.00e-04 | 5.0s 
Epoch 23/60 | train MAE 0.8399 | val MAE 0.8227 RMSE 1.3098 | lr 3.00e-04 | 5.0s *
Epoch 24/60 | train MAE 0.7583 | val MAE 1.0233 RMSE 1.5194 | lr 3.00e-04 | 5.0s 
Epoch 25/60 | train MAE 0.7864 | val MAE 0.8618 RMSE 1.3628 | lr 3.00e-04 | 5.0s 
Epoch 26/60 | train MAE 0.7610 | val MAE 0.8497 RMSE 1.3587 | lr 3.00e-04 | 5.0s 
Epoch 27/60 | train MAE 0.7295 | val MAE 0.8572 RMSE 1.3223 | lr 3.00e-04 | 5.1s 
Epoch 28/60 | train MAE 0.7331 | val MAE 0.9293 RMSE 1.3836 | lr 3.00e-04 | 4.9s 
Epoch 29/60 | train MAE 0.7248 | val MAE 0.8551 RMSE 1.2971 | lr 3.00e-04 | 5.0s 
Epoch 30/60 | train MAE 0.7274 | val MAE 0.8216 RMSE 1.2798 | lr 3.00e-04 | 4.9s *
Epoch 31/60 | train MAE 0.6915 | val MAE 0.8014 RMSE 1.2602 | lr 3.00e-04 | 5.1s *
Epoch 32/60 | train MAE 0.6675 | val MAE 0.8038 RMSE 1.2688 | lr 3.00e-04 | 5.0s 
Epoch 33/60 | train MAE 0.6765 | val MAE 0.8315 RMSE 1.2831 | lr 3.00e-04 | 5.0s 
Epoch 34/60 | train MAE 0.6776 | val MAE 0.7818 RMSE 1.2904 | lr 3.00e-04 | 5.0s *
Epoch 35/60 | train MAE 0.6273 | val MAE 0.7812 RMSE 1.2149 | lr 3.00e-04 | 5.0s *
Epoch 36/60 | train MAE 0.6306 | val MAE 0.7876 RMSE 1.2707 | lr 3.00e-04 | 5.0s 
Epoch 37/60 | train MAE 0.6402 | val MAE 0.7740 RMSE 1.2193 | lr 3.00e-04 | 5.2s *
Epoch 38/60 | train MAE 0.6602 | val MAE 0.7276 RMSE 1.2268 | lr 3.00e-04 | 5.0s *
Epoch 39/60 | train MAE 0.6089 | val MAE 0.7429 RMSE 1.2195 | lr 3.00e-04 | 5.0s 
Epoch 40/60 | train MAE 0.5805 | val MAE 0.7242 RMSE 1.2679 | lr 3.00e-04 | 5.0s *
Epoch 41/60 | train MAE 0.5770 | val MAE 0.7382 RMSE 1.2423 | lr 3.00e-04 | 5.0s 
Epoch 42/60 | train MAE 0.5618 | val MAE 0.7096 RMSE 1.1824 | lr 3.00e-04 | 5.0s *
Epoch 43/60 | train MAE 0.5845 | val MAE 0.7658 RMSE 1.2244 | lr 3.00e-04 | 5.1s 
Epoch 44/60 | train MAE 0.6207 | val MAE 0.7916 RMSE 1.2791 | lr 3.00e-04 | 4.9s 
Epoch 45/60 | train MAE 0.6294 | val MAE 0.6918 RMSE 1.2406 | lr 3.00e-04 | 5.1s *
Epoch 46/60 | train MAE 0.5446 | val MAE 0.7239 RMSE 1.1476 | lr 3.00e-04 | 5.0s 
Epoch 47/60 | train MAE 0.5648 | val MAE 0.7133 RMSE 1.1252 | lr 3.00e-04 | 5.1s 
Epoch 48/60 | train MAE 0.5696 | val MAE 0.7250 RMSE 1.1490 | lr 3.00e-04 | 5.0s 
Epoch 49/60 | train MAE 0.5082 | val MAE 0.7296 RMSE 1.1530 | lr 3.00e-04 | 5.0s 
Epoch 50/60 | train MAE 0.5072 | val MAE 0.6543 RMSE 1.1093 | lr 3.00e-04 | 4.9s *
Epoch 51/60 | train MAE 0.5010 | val MAE 0.6658 RMSE 1.1713 | lr 3.00e-04 | 5.0s 
Epoch 52/60 | train MAE 0.4829 | val MAE 0.6694 RMSE 1.1287 | lr 3.00e-04 | 4.9s 
Epoch 53/60 | train MAE 0.4844 | val MAE 0.7223 RMSE 1.1529 | lr 3.00e-04 | 5.0s 
Epoch 54/60 | train MAE 0.4976 | val MAE 0.6978 RMSE 1.1497 | lr 3.00e-04 | 4.9s 
Epoch 55/60 | train MAE 0.4807 | val MAE 0.6273 RMSE 1.0725 | lr 3.00e-04 | 5.0s *
Epoch 56/60 | train MAE 0.4785 | val MAE 0.6758 RMSE 1.1175 | lr 3.00e-04 | 5.0s 
Epoch 57/60 | train MAE 0.5254 | val MAE 0.7294 RMSE 1.1835 | lr 3.00e-04 | 5.1s 
Epoch 58/60 | train MAE 0.4526 | val MAE 0.6880 RMSE 1.1214 | lr 3.00e-04 | 5.0s 
Epoch 59/60 | train MAE 0.4634 | val MAE 0.7153 RMSE 1.1649 | lr 3.00e-04 | 5.0s 
