Config: {"model": "baseline", "data_path": "data/processed/cleaned_dataset.pkl", "output_dir": "results/baseline_long", "seed": 42, "batch_size": 64, "epochs": 60, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.001, "weight_decay": 1e-05}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 64, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.0}}
Device: cuda
Model: CrystalTransformer | params=0.198M
Train/Val/Test sizes: 8512/1064/1065
Target stats: mean=2.6040 std=3.1769
Epoch 01/60 | train MAE 2.2870 | val MAE 2.2061 RMSE 3.0815 | lr 1.00e-03 | 4.3s *
Epoch 02/60 | train MAE 2.1019 | val MAE 2.0589 RMSE 2.7588 | lr 1.00e-03 | 3.6s *
Epoch 03/60 | train MAE 1.9609 | val MAE 1.8864 RMSE 2.5294 | lr 1.00e-03 | 3.7s *
Epoch 04/60 | train MAE 1.8835 | val MAE 1.9177 RMSE 2.5269 | lr 1.00e-03 | 3.6s 
Epoch 05/60 | train MAE 1.8289 | val MAE 1.7742 RMSE 2.4029 | lr 1.00e-03 | 3.6s *
Epoch 06/60 | train MAE 1.7644 | val MAE 1.7472 RMSE 2.3416 | lr 1.00e-03 | 3.8s *
Epoch 07/60 | train MAE 1.7064 | val MAE 1.8565 RMSE 2.4624 | lr 1.00e-03 | 3.6s 
Epoch 08/60 | train MAE 1.6449 | val MAE 1.6857 RMSE 2.3379 | lr 1.00e-03 | 3.7s *
Epoch 09/60 | train MAE 1.5382 | val MAE 1.5394 RMSE 2.1416 | lr 1.00e-03 | 3.8s *
Epoch 10/60 | train MAE 1.4159 | val MAE 1.3694 RMSE 1.9678 | lr 1.00e-03 | 3.7s *
Epoch 11/60 | train MAE 1.3089 | val MAE 1.3135 RMSE 1.9263 | lr 1.00e-03 | 3.7s *
Epoch 12/60 | train MAE 1.2954 | val MAE 1.2725 RMSE 1.8810 | lr 1.00e-03 | 3.7s *
Epoch 13/60 | train MAE 1.1599 | val MAE 1.1423 RMSE 1.7594 | lr 1.00e-03 | 3.6s *
Epoch 14/60 | train MAE 1.1132 | val MAE 1.2037 RMSE 1.7703 | lr 1.00e-03 | 3.7s 
Epoch 15/60 | train MAE 1.0880 | val MAE 1.0789 RMSE 1.6391 | lr 1.00e-03 | 3.7s *
Epoch 16/60 | train MAE 1.0666 | val MAE 1.1963 RMSE 1.7700 | lr 1.00e-03 | 3.7s 
Epoch 17/60 | train MAE 1.0543 | val MAE 1.0705 RMSE 1.6328 | lr 1.00e-03 | 3.7s *
Epoch 18/60 | train MAE 0.9944 | val MAE 1.0770 RMSE 1.6598 | lr 1.00e-03 | 3.6s 
Epoch 19/60 | train MAE 0.9556 | val MAE 1.0169 RMSE 1.5531 | lr 1.00e-03 | 3.7s *
Epoch 20/60 | train MAE 0.9474 | val MAE 1.0656 RMSE 1.6155 | lr 1.00e-03 | 3.7s 
Epoch 21/60 | train MAE 0.9284 | val MAE 1.0484 RMSE 1.5855 | lr 1.00e-03 | 3.6s 
Epoch 22/60 | train MAE 0.9261 | val MAE 1.0331 RMSE 1.5812 | lr 1.00e-03 | 3.7s 
Epoch 23/60 | train MAE 0.8825 | val MAE 1.0430 RMSE 1.6230 | lr 1.00e-03 | 3.7s 
Epoch 24/60 | train MAE 0.8739 | val MAE 0.9768 RMSE 1.5047 | lr 1.00e-03 | 3.7s *
Epoch 25/60 | train MAE 0.8948 | val MAE 0.9062 RMSE 1.4802 | lr 1.00e-03 | 3.7s *
Epoch 26/60 | train MAE 0.8039 | val MAE 0.9128 RMSE 1.4691 | lr 1.00e-03 | 3.6s 
Epoch 27/60 | train MAE 0.8216 | val MAE 0.8744 RMSE 1.3819 | lr 1.00e-03 | 3.7s *
Epoch 28/60 | train MAE 0.8213 | val MAE 0.9254 RMSE 1.4814 | lr 1.00e-03 | 3.7s 
Epoch 29/60 | train MAE 0.8129 | val MAE 0.9322 RMSE 1.4838 | lr 1.00e-03 | 3.6s 
Epoch 30/60 | train MAE 0.8077 | val MAE 0.9445 RMSE 1.4589 | lr 1.00e-03 | 3.7s 
Epoch 31/60 | train MAE 0.7928 | val MAE 1.0363 RMSE 1.5907 | lr 1.00e-03 | 3.6s 
Epoch 32/60 | train MAE 0.8136 | val MAE 0.9709 RMSE 1.5438 | lr 1.00e-03 | 3.6s 
Epoch 33/60 | train MAE 0.8205 | val MAE 0.9754 RMSE 1.4922 | lr 1.00e-03 | 3.7s 
Epoch 34/60 | train MAE 0.7574 | val MAE 0.9124 RMSE 1.4387 | lr 5.00e-04 | 3.6s 
Epoch 35/60 | train MAE 0.6787 | val MAE 0.8347 RMSE 1.3088 | lr 5.00e-04 | 3.7s *
Epoch 36/60 | train MAE 0.6612 | val MAE 0.8256 RMSE 1.3227 | lr 5.00e-04 | 3.7s *
Epoch 37/60 | train MAE 0.6543 | val MAE 0.8058 RMSE 1.3126 | lr 5.00e-04 | 3.7s *
Epoch 38/60 | train MAE 0.6415 | val MAE 0.8137 RMSE 1.3024 | lr 5.00e-04 | 3.6s 
Epoch 39/60 | train MAE 0.6242 | val MAE 0.8052 RMSE 1.2811 | lr 5.00e-04 | 3.7s *
Epoch 40/60 | train MAE 0.6141 | val MAE 0.7785 RMSE 1.2506 | lr 5.00e-04 | 3.7s *
Epoch 41/60 | train MAE 0.6089 | val MAE 0.8289 RMSE 1.3677 | lr 5.00e-04 | 3.7s 
Epoch 42/60 | train MAE 0.6108 | val MAE 0.8078 RMSE 1.2693 | lr 5.00e-04 | 3.6s 
Epoch 43/60 | train MAE 0.6077 | val MAE 0.7954 RMSE 1.2866 | lr 5.00e-04 | 3.7s 
Epoch 44/60 | train MAE 0.5863 | val MAE 0.7968 RMSE 1.2739 | lr 5.00e-04 | 3.7s 
Epoch 45/60 | train MAE 0.5859 | val MAE 0.8034 RMSE 1.2560 | lr 5.00e-04 | 3.7s 
Epoch 46/60 | train MAE 0.6078 | val MAE 0.7865 RMSE 1.2676 | lr 5.00e-04 | 3.6s 
Epoch 47/60 | train MAE 0.5768 | val MAE 0.7782 RMSE 1.2502 | lr 5.00e-04 | 3.8s *
Epoch 48/60 | train MAE 0.5791 | val MAE 0.8069 RMSE 1.2931 | lr 5.00e-04 | 3.6s 
Epoch 49/60 | train MAE 0.6011 | val MAE 0.7908 RMSE 1.2736 | lr 5.00e-04 | 3.7s 
Epoch 50/60 | train MAE 0.5622 | val MAE 0.7770 RMSE 1.2339 | lr 5.00e-04 | 3.6s *
Epoch 51/60 | train MAE 0.5306 | val MAE 0.7671 RMSE 1.2468 | lr 5.00e-04 | 3.6s *
Epoch 52/60 | train MAE 0.5306 | val MAE 0.7531 RMSE 1.2294 | lr 5.00e-04 | 3.7s *
Epoch 53/60 | train MAE 0.5072 | val MAE 0.7369 RMSE 1.2283 | lr 5.00e-04 | 3.6s *
Epoch 54/60 | train MAE 0.5312 | val MAE 0.8162 RMSE 1.3396 | lr 5.00e-04 | 3.6s 
Epoch 55/60 | train MAE 0.5759 | val MAE 0.7887 RMSE 1.3015 | lr 5.00e-04 | 3.7s 
Epoch 56/60 | train MAE 0.5393 | val MAE 0.7939 RMSE 1.2688 | lr 5.00e-04 | 3.6s 
Epoch 57/60 | train MAE 0.4949 | val MAE 0.7428 RMSE 1.2343 | lr 5.00e-04 | 3.7s 
Epoch 58/60 | train MAE 0.5137 | val MAE 0.7806 RMSE 1.2395 | lr 5.00e-04 | 3.7s 
Epoch 59/60 | train MAE 0.5060 | val MAE 0.7665 RMSE 1.2984 | lr 5.00e-04 | 3.6s 
Epoch 60/60 | train MAE 0.4890 | val MAE 0.7469 RMSE 1.2653 | lr 2.50e-04 | 3.8s 

[Final] Test MAE 0.7371 | RMSE 1.3285
