rank,host,dopant,defect_type,natoms,predicted_Ef_eV,calibrated_sigma_eV,adversarial_score,extreme,score
1,Pd2Se4,Pb,interstitial,25,2.4256,11.8642,0.9701,N,0.6612
2,Ge2,La,interstitial,19,3.9834,11.4875,0.9379,N,0.6262
3,BiITe,S,interstitial,28,3.9411,10.2135,0.8291,N,0.5895
4,BiITe,Rh,interstitial,28,4.2300,9.6623,0.7821,N,0.5871
5,SnSe2,Ir,interstitial,28,3.8983,9.3334,0.7540,N,0.5776
6,Mo2CO2,In,interstitial,81,4.3271,9.6953,0.7849,N,0.5748
7,Mo2CO2,Bi,interstitial,81,4.3402,9.6731,0.7830,N,0.5698
8,BiITe,Ru,interstitial,28,4.8115,9.7763,0.7918,N,0.5671
9,SnSe2,Pb,interstitial,28,4.2566,9.7511,0.7896,N,0.5634
10,Mo2CO2,La,interstitial,81,4.3092,9.6551,0.7814,N,0.5582
11,V2CO2,Na,interstitial,81,3.2164,8.8895,0.7160,N,0.5334
12,BiITe,Te,interstitial,28,4.7378,9.0783,0.7322,N,0.5314
13,Hf2Te6,La,interstitial,73,3.2239,7.4302,0.5914,N,0.5283
14,BiITe,Pd,interstitial,28,4.9320,8.7319,0.7026,N,0.5136
15,BiITe,Se,interstitial,28,3.3374,8.4852,0.6815,N,0.5010
16,Re4Se8,La,interstitial,49,4.4671,6.8846,0.5448,N,0.5003
17,BiITe,Au,interstitial,28,8.6551,12.2141,1.0000,Y,0.4921
18,V2CO2,La,interstitial,81,3.2757,8.8410,0.7119,N,0.4906
19,BiITe,O,interstitial,28,4.1067,8.2633,0.6626,N,0.4896
20,SnSe2,La,interstitial,28,3.6080,8.5784,0.6895,N,0.4877
21,BiITe,Ni,interstitial,28,4.6223,8.4077,0.6749,N,0.4816
22,NbS2,Bi,interstitial,28,1.4734,7.6975,0.6142,N,0.4685
23,NiSe2,Bi,interstitial,28,2.2867,7.6584,0.6109,N,0.4665
24,Bi2I6,I,interstitial,33,3.2610,7.2474,0.5758,N,0.4625
25,TiS2,Bi,interstitial,28,-0.0803,7.5650,0.6029,N,0.4617
26,MoS2,La,interstitial,49,7.1058,9.9577,0.8073,Y,0.4578
27,Ti2CO2,Y,interstitial,81,1.7025,7.7165,0.6159,N,0.4544
28,SnSe2,Nb,interstitial,28,2.7947,6.8640,0.5431,N,0.4510
29,BiITe,C,interstitial,28,4.1419,7.7978,0.6228,N,0.4504
30,BiITe,Ba,interstitial,28,8.9418,11.3916,0.9298,Y,0.4499
31,Ti2CO2,Ca,interstitial,81,1.9700,7.6266,0.6082,N,0.4498
32,Ti2CO2,Rb,interstitial,81,2.4870,7.0999,0.5632,N,0.4486
33,MoTe2,La,interstitial,28,1.9072,7.8032,0.6233,N,0.4479
34,BiITe,N,interstitial,28,3.6417,6.9082,0.5468,N,0.4460
35,BiITe,Co,interstitial,28,4.9208,7.6984,0.6143,N,0.4453
36,MoSe2,Pb,interstitial,49,2.2954,7.1354,0.5662,N,0.4447
37,BiITe,Si,interstitial,28,7.2318,11.5465,0.9430,Y,0.4425
38,Ti2CO2,Sr,interstitial,81,2.2669,7.4562,0.5936,N,0.4410
