Config: {"model": "baseline", "data_path": "data/processed/loho_Cr2I6.pkl", "output_dir": "results/loho_Cr2I6", "seed": 42, "batch_size": 64, "epochs": 50, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.0003, "weight_decay": 0.0001}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.1}}
Device: cuda
Model: CrystalTransformer | params=0.747M
Train/Val/Test sizes: 27831/1030/334
Target stats: mean=2.6417 std=3.2348
Epoch 01/50 | train MAE 2.0384 | val MAE 1.7615 RMSE 2.4015 | lr 3.00e-04 | 16.5s *
Epoch 02/50 | train MAE 1.4732 | val MAE 1.3010 RMSE 1.8501 | lr 3.00e-04 | 15.6s *
Epoch 03/50 | train MAE 1.1848 | val MAE 1.1850 RMSE 1.7724 | lr 3.00e-04 | 15.6s *
Epoch 04/50 | train MAE 1.0365 | val MAE 1.1207 RMSE 1.6427 | lr 3.00e-04 | 15.4s *
Epoch 05/50 | train MAE 0.9411 | val MAE 0.9732 RMSE 1.5355 | lr 3.00e-04 | 15.6s *
Epoch 06/50 | train MAE 0.8792 | val MAE 0.9638 RMSE 1.4482 | lr 3.00e-04 | 15.5s *
Epoch 07/50 | train MAE 0.8237 | val MAE 0.8888 RMSE 1.3616 | lr 3.00e-04 | 15.6s *
Epoch 08/50 | train MAE 0.7711 | val MAE 0.7967 RMSE 1.2262 | lr 3.00e-04 | 15.5s *
Epoch 09/50 | train MAE 0.7010 | val MAE 0.8862 RMSE 1.3091 | lr 3.00e-04 | 15.6s 
Epoch 10/50 | train MAE 0.6842 | val MAE 0.7713 RMSE 1.2321 | lr 3.00e-04 | 15.4s *
Epoch 11/50 | train MAE 0.6257 | val MAE 0.7871 RMSE 1.2576 | lr 3.00e-04 | 15.7s 
Epoch 12/50 | train MAE 0.6070 | val MAE 0.8852 RMSE 1.3131 | lr 3.00e-04 | 15.6s 
