Config: {"model": "baseline", "data_path": "data/processed/loho_MoS2.pkl", "output_dir": "results/loho_MoS2", "seed": 42, "batch_size": 64, "epochs": 50, "train_ratio": 0.8, "val_ratio": 0.1, "loss": "mse", "grad_clip": 5.0, "optimizer": {"lr": 0.0003, "weight_decay": 0.0001}, "scheduler": {"factor": 0.5, "patience": 6}, "model_kwargs": {"atom_fea_len": 9, "hidden_dim": 128, "n_local_layers": 3, "n_global_layers": 2, "num_heads": 4, "rcut_local": 5.0, "dmax_global": 12.0, "defect_embedding": true, "dropout": 0.1}}
Device: cuda
Model: CrystalTransformer | params=0.747M
Train/Val/Test sizes: 27900/1033/308
Target stats: mean=2.5614 std=3.1423
Epoch 01/50 | train MAE 2.0862 | val MAE 1.7974 RMSE 2.4520 | lr 3.00e-04 | 16.4s *
Epoch 02/50 | train MAE 1.5892 | val MAE 1.4782 RMSE 2.0638 | lr 3.00e-04 | 15.9s *
Epoch 03/50 | train MAE 1.1842 | val MAE 1.0864 RMSE 1.7783 | lr 3.00e-04 | 15.6s *
Epoch 04/50 | train MAE 1.0233 | val MAE 1.0196 RMSE 1.5921 | lr 3.00e-04 | 16.1s *
Epoch 05/50 | train MAE 0.9356 | val MAE 0.8654 RMSE 1.4192 | lr 3.00e-04 | 15.6s *
Epoch 06/50 | train MAE 0.8445 | val MAE 0.8829 RMSE 1.4276 | lr 3.00e-04 | 15.8s 
Epoch 07/50 | train MAE 0.7898 | val MAE 0.7768 RMSE 1.2930 | lr 3.00e-04 | 15.9s *
Epoch 08/50 | train MAE 0.7134 | val MAE 0.8360 RMSE 1.3685 | lr 3.00e-04 | 16.6s 
Epoch 09/50 | train MAE 0.6822 | val MAE 0.7569 RMSE 1.2258 | lr 3.00e-04 | 15.8s *
Epoch 10/50 | train MAE 0.6478 | val MAE 0.7322 RMSE 1.2497 | lr 3.00e-04 | 15.6s *
Epoch 11/50 | train MAE 0.6129 | val MAE 0.7944 RMSE 1.3017 | lr 3.00e-04 | 15.7s 
Epoch 12/50 | train MAE 0.5707 | val MAE 0.7098 RMSE 1.2345 | lr 3.00e-04 | 16.0s *
Epoch 13/50 | train MAE 0.5468 | val MAE 0.6969 RMSE 1.2076 | lr 3.00e-04 | 15.8s *
Epoch 14/50 | train MAE 0.5192 | val MAE 0.6812 RMSE 1.2623 | lr 3.00e-04 | 15.7s *
Epoch 15/50 | train MAE 0.5095 | val MAE 0.6585 RMSE 1.2059 | lr 3.00e-04 | 15.6s *
Epoch 16/50 | train MAE 0.4905 | val MAE 0.6372 RMSE 1.1509 | lr 3.00e-04 | 15.9s *
Epoch 17/50 | train MAE 0.5268 | val MAE 0.6870 RMSE 1.2505 | lr 3.00e-04 | 15.8s 
Epoch 18/50 | train MAE 0.4676 | val MAE 0.6374 RMSE 1.1685 | lr 3.00e-04 | 15.8s 
Epoch 19/50 | train MAE 0.4319 | val MAE 0.6541 RMSE 1.2120 | lr 3.00e-04 | 15.6s 
Epoch 20/50 | train MAE 0.4707 | val MAE 0.6376 RMSE 1.1873 | lr 3.00e-04 | 15.7s 
Epoch 21/50 | train MAE 0.4259 | val MAE 0.6121 RMSE 1.1459 | lr 3.00e-04 | 15.5s *
Epoch 22/50 | train MAE 0.4234 | val MAE 0.6184 RMSE 1.1525 | lr 3.00e-04 | 15.7s 
Epoch 23/50 | train MAE 0.4059 | val MAE 0.6077 RMSE 1.1613 | lr 3.00e-04 | 16.1s *
Epoch 24/50 | train MAE 0.3979 | val MAE 0.6132 RMSE 1.1067 | lr 3.00e-04 | 15.5s 
Epoch 25/50 | train MAE 0.4284 | val MAE 0.8223 RMSE 1.2956 | lr 3.00e-04 | 15.6s 
Epoch 26/50 | train MAE 0.5507 | val MAE 0.6923 RMSE 1.1936 | lr 3.00e-04 | 15.6s 
Epoch 27/50 | train MAE 0.4145 | val MAE 0.6120 RMSE 1.1534 | lr 3.00e-04 | 15.6s 
