host_dopant,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Ge,H,Hf,Hg,I,In,Ir,K,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Tc,Te,Ti,Tl,V,W,Xe,Y,Zn,Zr
As2,4,4,4,4,5,4,5,1,3,5,4,4,4,3,4,4,4,5,3,3,4,5,3,4,3,0,2,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4
Bi2I6,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,7,2,0,0,2,0,0,0,0,1,1,0,0,0,0,8,1,2,0,0,0,0,0,1,0,1,0,1,1,1,0,1,8,1,1,0
BiITe,1,3,0,0,2,0,1,2,1,0,1,1,1,0,0,2,0,0,0,1,3,0,0,1,1,1,0,0,0,7,0,1,1,0,2,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,8,0,1,0
C2H2,3,5,3,5,5,3,3,3,3,5,3,4,5,3,2,3,5,5,3,3,2,6,4,3,3,2,3,3,6,3,6,3,3,5,4,4,4,6,3,4,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4
Cr2I6,6,6,6,6,7,4,6,1,5,6,6,5,6,6,5,5,6,7,6,4,4,7,4,5,5,0,6,6,5,6,5,5,5,6,1,5,6,6,5,6,2,5,5,6,5,6,6,6,6,6,6,6,4,5,5,6,6,6,3,4,4,6,6,3,4
Ge2,2,3,2,3,4,3,3,3,4,3,4,4,4,3,1,3,0,4,0,3,2,3,4,3,1,0,1,3,3,3,4,3,3,3,4,1,4,4,3,3,0,3,2,4,3,2,3,3,4,4,3,4,2,2,3,4,2,4,3,2,3,4,3,3,4
Ge2H2,4,4,3,3,3,4,3,5,4,4,4,5,3,4,3,3,1,4,3,2,4,5,2,4,5,2,1,3,4,3,3,4,4,3,3,2,3,5,3,3,2,4,5,4,3,3,4,4,4,4,4,3,4,5,4,5,4,3,4,4,4,3,4,2,3
Hf2Te6,7,7,8,6,8,4,7,2,7,8,7,6,6,7,7,6,8,7,8,9,6,9,7,7,6,2,6,7,8,6,7,7,6,8,7,7,6,7,7,7,1,7,6,6,7,6,7,9,7,6,6,7,5,7,6,6,7,8,5,8,7,7,7,7,7
HfS2,5,4,5,3,5,3,5,1,5,5,5,3,4,5,5,4,4,6,5,3,4,6,5,3,4,1,5,5,5,5,5,5,5,4,2,4,5,6,5,5,4,5,3,5,5,5,4,5,3,4,5,5,4,5,5,4,3,5,3,5,5,3,5,3,5
HfSe2,5,5,5,5,5,3,5,2,5,5,5,5,5,5,5,4,5,5,5,2,5,6,4,5,3,0,3,4,6,5,5,4,5,5,1,4,4,4,5,5,4,3,5,4,5,4,4,5,4,4,5,5,5,4,3,4,4,5,3,5,5,5,3,4,5
Mo2CO2,3,3,2,3,3,3,2,0,4,5,4,3,3,3,3,3,4,3,4,4,3,4,2,2,4,0,2,3,3,0,4,4,4,4,3,2,3,4,2,4,1,3,2,4,2,2,3,3,2,2,2,2,2,2,1,3,3,1,3,3,2,2,1,4,3
MoS2,6,6,5,4,7,4,8,1,5,6,6,5,5,5,6,4,5,6,6,5,4,8,3,3,4,1,4,3,6,5,6,6,5,7,2,5,4,8,5,6,1,5,3,5,5,3,6,5,3,5,6,5,4,5,3,5,3,7,3,7,3,3,4,5,4
MoSSe,6,9,7,6,10,7,10,1,7,9,8,6,9,9,9,6,9,10,9,6,8,10,7,7,7,1,5,8,9,7,7,9,6,10,1,7,8,10,5,9,1,6,4,7,7,7,7,9,7,9,7,9,8,7,7,7,6,7,7,8,7,5,7,7,7
MoSe2,5,5,4,4,8,4,8,0,4,7,3,5,6,7,6,5,5,7,5,5,3,8,4,4,4,1,5,4,7,5,5,5,4,8,2,4,5,7,4,6,0,5,5,3,4,4,5,6,4,5,6,5,3,4,3,5,3,5,5,5,4,3,4,4,3
MoTe2,4,5,3,4,7,3,7,0,6,7,5,3,5,6,5,3,6,5,6,3,4,8,5,3,3,0,4,5,5,3,5,5,3,7,0,4,4,7,4,5,3,2,3,4,3,4,4,4,5,6,3,5,4,3,3,3,3,4,1,3,5,3,3,3,4
Nb2CO2,3,4,3,3,4,3,5,0,3,4,4,3,4,4,5,3,4,5,4,4,0,5,2,3,3,0,2,4,5,3,4,5,2,3,0,3,3,5,2,4,0,3,3,3,2,4,3,3,3,4,2,4,0,3,3,3,3,0,3,4,3,3,3,4,3
Nb4C3,2,5,3,3,6,3,6,0,3,6,3,3,4,4,6,3,5,5,4,3,0,6,1,3,4,1,3,4,6,2,4,5,2,6,0,3,4,5,3,4,0,3,3,3,2,3,3,4,3,2,3,4,0,4,3,2,5,3,3,4,3,3,4,3,2
NbS2,5,6,7,6,8,5,8,0,8,8,7,5,5,7,7,4,7,7,7,3,3,8,5,5,5,1,5,6,7,4,7,6,3,8,1,6,7,6,5,7,4,4,6,5,5,7,6,7,7,7,5,7,0,4,5,6,5,3,4,6,6,3,4,7,6
NbSe2,7,6,6,7,6,6,8,0,6,6,7,7,6,6,6,6,7,7,6,5,2,8,6,6,6,3,5,7,8,6,7,7,6,7,0,7,7,8,4,7,5,7,7,7,5,7,6,7,6,7,7,7,0,6,5,6,6,5,6,7,7,6,7,6,7
NiSe2,5,4,4,4,5,4,5,0,4,5,5,5,3,4,5,4,4,6,3,2,5,6,3,4,4,2,4,5,5,4,5,4,4,5,0,3,3,5,3,5,4,5,5,5,3,4,5,5,4,5,4,3,2,5,3,4,4,4,4,4,3,4,4,3,3
