host_dopant,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Ge,H,Hf,Hg,I,In,Ir,K,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Tc,Te,Ti,Tl,V,W,Xe,Y,Zn,Zr
As2,1.9377,1.8290,1.7212,1.9000,3.0516,-0.2384,1.9061,0.9959,-0.2108,4.4767,0.7988,1.6287,0.6716,2.5815,2.6058,-0.0389,1.9141,-0.1910,2.6916,1.9393,1.7842,1.1834,3.4713,1.4329,-0.0034,,2.9257,0.9830,0.3680,1.5553,0.7173,1.9266,4.6219,2.6646,-0.0943,4.0943,2.0241,0.8110,4.3126,1.6653,1.3066,1.5099,1.5959,-0.6091,5.4923,1.6227,3.3850,0.3362,2.4800,1.2832,1.1308,1.8869,2.2576,0.9766,4.9555,4.5130,1.7184,2.5078,2.4582,3.0731,5.4926,2.7399,1.5905,1.1476,2.8331
Bi2I6,-0.3369,,,,,-5.4454,,,,,,,-0.2354,,,,,0.4484,,,0.7478,,-7.9994,,,,,-3.2092,-0.6161,1.0745,-2.3011,,,3.3715,,,,,1.5872,1.5057,,,,,6.4793,2.5013,3.8605,,,,,,-1.0129,,4.1171,,2.8485,2.5608,-1.2719,,0.8114,1.5969,-0.3490,-3.0286,
BiITe,0.0898,0.2249,,,3.3361,,2.1313,-1.0665,-1.1095,,-1.9619,3.1002,-1.4389,,,-2.4332,,,,-0.9602,2.4192,,,-1.8064,0.2536,3.7034,,,,2.5744,,2.5365,3.0453,,-2.4286,,,,,,,,2.0875,-3.4551,7.1853,,,,,,,,-1.7795,,,,,0.3285,-1.0393,,5.9362,2.1705,,-1.4281,
C2H2,2.4244,7.6664,3.0214,8.0237,7.2628,1.7278,5.8391,2.5119,0.7494,9.3343,1.8762,4.0096,0.6709,4.8187,7.7920,0.5291,7.6541,2.6329,7.6554,2.5608,3.4986,2.9278,9.0140,0.1574,0.9189,2.2308,6.9049,0.7554,2.6150,4.1053,7.9995,3.8218,6.1865,7.4901,5.1920,9.4742,7.2960,4.7147,8.2636,6.5845,2.7981,3.1228,4.8935,0.6896,7.8048,5.2116,6.7181,5.3056,5.9428,4.1238,2.6107,4.3222,6.1796,1.5722,8.1699,6.7997,2.5014,5.1925,1.9432,5.2423,8.4140,0.0520,4.1182,5.4813,8.7271
Cr2I6,1.7082,1.5686,2.6763,2.2706,4.8011,-1.2450,1.9149,2.3919,1.3742,5.8530,-1.0373,0.9804,1.2829,2.5454,2.4372,-0.6173,1.4519,-0.5052,2.5631,1.1078,2.0501,2.1612,2.7387,1.5865,1.7147,,4.8241,-0.6666,-0.6582,-0.0686,0.1642,1.3894,4.2186,4.5521,1.5387,3.3518,2.1015,1.5431,6.5023,3.0630,8.7288,1.4630,2.3618,-0.2479,5.9915,3.3463,4.5677,1.7316,2.7251,0.2052,2.3060,2.6491,1.4438,-1.2286,4.3399,4.9396,2.7053,1.7175,0.6239,2.5689,6.3155,1.9171,0.0871,0.9392,2.2802
Ge2,1.0279,1.2212,0.7098,0.8723,2.5674,-1.1570,1.8489,0.4600,-0.6971,4.3320,-0.1126,0.9196,-1.1562,1.6966,4.0007,0.9987,,-2.6973,,0.7609,0.3152,0.8872,1.3377,0.0251,-0.4709,,2.3299,0.5310,-0.2956,0.6937,0.7654,1.0539,2.2446,0.8644,0.0190,0.2855,1.1812,-1.5442,3.6765,0.2937,,0.4145,0.9116,0.2767,3.3861,0.2808,2.4883,-0.7021,0.9744,-0.0315,-0.7054,1.4402,-0.0850,-1.0348,1.8945,1.5482,-0.7143,0.5712,-0.1851,1.2405,3.5170,1.7558,0.2394,0.1577,0.8522
Ge2H2,4.0230,2.5965,2.9573,2.3738,5.2390,2.1221,3.2791,5.1226,1.8364,5.9290,3.9017,3.2514,0.1082,4.5838,3.2672,-0.8311,2.9815,-1.4050,4.1061,1.7124,4.2715,1.8316,5.9643,1.8220,3.0479,1.4195,6.5934,-0.5065,0.1295,2.2404,1.3303,3.6217,6.6962,5.0209,0.0556,6.6133,4.1024,1.1916,9.9202,3.5661,5.3117,2.5238,5.9910,1.0357,9.7017,3.3843,6.4398,4.1248,4.3593,3.9993,3.8290,3.6306,3.9618,3.3285,10.6139,7.9959,3.8139,3.0554,2.5949,3.4719,9.1087,0.0599,4.2886,3.8311,4.8070
Hf2Te6,1.4886,2.0973,2.2426,1.4649,3.3086,0.3995,2.3895,2.2995,0.9249,4.4646,0.9441,1.0437,0.0603,2.1940,3.0298,1.7602,1.7421,-1.7941,2.3263,2.1162,2.4864,1.1167,2.9482,1.4378,1.9176,1.9136,2.7308,1.0019,0.2953,1.0530,1.5017,1.8158,3.5887,2.6117,1.1493,3.6478,1.2720,-1.1029,4.0522,1.8448,2.6574,0.9012,1.6044,0.2970,4.4991,1.4590,2.8246,1.0332,2.5717,1.2935,1.4268,2.6567,1.8279,1.0471,4.2586,2.8975,2.0477,2.1778,1.2316,2.8392,4.4995,3.3557,1.5802,1.8611,2.5407
HfS2,2.2284,2.1559,2.9113,2.1352,3.1159,-1.3140,1.6805,7.0355,1.7895,4.7650,0.0194,0.6928,1.5165,2.2504,3.2531,0.8592,2.0743,-0.3769,2.4400,2.2031,2.5820,1.3987,2.3936,0.1500,1.2485,3.0992,3.7239,0.0847,-0.1727,0.8760,1.1733,2.0957,3.8499,3.1415,1.7468,3.2093,1.6318,1.5462,4.9145,2.8464,2.6055,1.5715,2.8123,0.2223,5.1540,2.5805,3.8463,1.4279,2.1129,1.0825,2.4932,2.9850,2.6458,0.0267,5.1291,4.0389,2.1960,1.6337,0.0872,3.4055,4.7967,0.0495,0.6916,2.2172,1.8308
HfSe2,1.8779,1.6592,2.2380,2.2427,3.0956,-1.2230,1.5090,0.6802,1.2622,4.6369,-0.2717,1.6041,0.8792,2.0431,2.8043,0.3552,1.6260,1.7743,2.1837,2.3429,2.2054,1.1609,3.4353,1.4493,0.8262,,3.7673,0.1905,-0.3383,0.6552,0.9683,2.0264,3.9545,2.1484,3.2279,3.2211,0.9631,-0.9238,5.1558,2.1547,1.0224,1.4151,2.2749,0.3498,5.4488,2.4928,4.2489,0.6343,2.5296,0.6548,2.5041,2.3386,2.5437,-1.0534,4.6767,3.9675,2.4590,1.4442,0.0845,2.2824,4.6004,2.9064,0.2912,1.5840,1.6997
Mo2CO2,1.3655,1.1683,1.8900,2.4536,1.6599,-3.5676,-0.6225,,5.2317,3.3444,0.8921,0.4761,1.0856,5.8132,1.6716,-2.8897,2.2558,0.1427,4.0176,2.3484,3.5998,-0.1378,8.0026,0.1821,5.5126,,5.2373,-2.5462,-1.9455,,0.0326,1.1413,6.2093,1.5117,0.9844,2.9132,4.1531,0.1179,6.8878,4.1893,-1.0246,2.3071,3.7153,2.8104,6.3746,3.5639,3.8830,0.2060,0.7176,3.3546,2.0292,5.6887,-0.1890,7.5624,4.5244,7.0960,6.4453,8.5621,-0.8182,3.8587,6.1262,0.0346,-0.3402,3.3591,4.0553
MoS2,7.3798,5.8229,6.1224,4.0265,4.6573,5.2652,4.9456,0.3703,5.2344,6.0310,6.3899,6.5654,4.6086,5.2003,4.6415,4.4043,4.1726,2.0747,6.2223,7.3598,3.7691,2.1467,4.8843,0.1560,4.5054,-3.1704,7.2695,-0.3123,2.8564,5.1862,4.4836,6.1421,6.3123,6.9151,8.6828,8.4396,4.4876,3.6587,7.8858,4.5931,-3.9715,4.5631,3.2565,6.7820,8.0088,3.6627,8.1216,4.5298,2.7050,4.3914,6.4546,3.9948,6.5326,5.8149,6.5183,6.5087,1.9654,4.8899,1.0803,6.3643,7.2250,0.0358,4.5682,7.1947,7.5617
MoSSe,2.0844,3.1837,3.3951,2.3749,4.8582,2.0332,3.8458,7.9995,1.9424,6.4239,3.0127,0.7182,2.8197,3.6686,3.7584,-0.6291,2.7520,2.2311,4.1460,3.0312,3.4795,2.1081,5.0095,1.1868,2.4421,-3.3825,5.5173,2.7476,1.1062,2.4862,2.0528,3.5281,5.5585,5.3291,7.6706,5.2765,2.5974,2.3555,7.0164,3.7559,-4.9777,2.0532,3.3496,1.3945,7.2022,3.9718,5.5271,2.7412,3.2889,3.4431,2.7872,3.5944,3.8736,2.1658,6.4634,5.5765,1.9413,3.8456,2.2098,4.3867,7.2775,0.0525,3.5304,2.0540,4.5475
MoSe2,5.9868,3.9921,3.5466,4.9594,4.9640,3.9969,4.1869,,2.7125,5.4992,1.1675,4.9917,4.8562,4.1015,5.7139,5.1103,4.7455,1.2081,4.1034,4.6055,2.8655,2.0045,7.3460,3.7989,4.1256,-3.5056,8.6269,3.3862,2.3954,4.1721,4.7499,3.2248,7.7062,5.6977,6.7283,5.3259,2.6386,2.0964,6.8062,4.8659,,5.4979,6.4224,-0.2512,7.1880,6.9039,7.7033,3.3608,5.1104,4.0974,4.0722,4.2846,2.4536,4.1408,6.6275,8.1364,1.9275,5.0656,5.6392,4.2721,6.9908,0.0344,4.8508,2.0828,4.3571
MoTe2,2.9526,3.1160,2.7426,2.6747,5.3733,0.9200,3.4995,,3.5822,5.2304,3.0925,0.7315,1.9455,3.4246,3.4541,-0.5043,3.4854,0.2430,3.5263,3.5763,3.6795,1.7131,5.0937,3.2505,0.5922,,5.0034,3.2902,1.2237,2.9695,2.5352,3.1995,5.6491,5.2446,,5.4557,2.3331,2.3536,5.9778,3.0427,2.1706,1.9052,2.9028,2.0172,7.3467,3.5295,4.9844,1.8807,4.3160,3.4918,1.7282,3.4619,3.5011,1.1106,6.8631,5.6880,1.7271,4.1094,1.2563,3.1348,6.7555,0.0519,3.0561,4.8406,4.4674
Nb2CO2,1.7930,2.5821,3.2032,2.8272,3.9603,-2.5068,2.7506,,0.8746,6.1164,1.3138,0.7529,3.7334,4.6572,4.2753,-2.4341,3.9831,-0.0425,4.5514,2.6640,,1.7188,4.5658,0.1939,1.1894,,5.9413,2.0971,1.1518,0.6328,2.2835,3.8008,4.7730,4.0952,,3.4224,5.5347,0.9169,7.3576,4.8999,,2.6630,4.2897,-2.1978,6.9863,5.6840,4.8678,4.9311,2.3914,3.9131,2.3687,3.4762,,-2.1260,10.3345,7.0929,2.2357,,-0.3361,3.8153,9.5718,0.0998,1.0124,3.3327,8.3798
